task,task_id,item_uid,trial_type,prompt,item,answer,response_alternatives,chance_level,prompt_phrase,prompt_image,full_prompt
egma-math,math,math_identify_1,Number Identification,Choose the number you hear.,1,1,"3,6,9",0.25,1,NA,"Choose the same number: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,num-ident-8,Number Identification,Choose the 8.,8,8,"2,5,9",0.25,8,NA,"Choose the same number: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_identify_9,Number Identification,Choose the number you hear.,9,9,"0,8,3",0.25,9,NA,"Choose the same number: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_identify_0,Number Identification,Choose the number you hear.,0,0,"1,9,10",0.25,0,NA,"Choose the same number: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_identify_12,Number Identification,Choose the number you hear.,12,12,"6,11,21",0.25,12,NA,"Choose the same number: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_identify_30,Number Identification,Choose the number you hear.,30,30,"20,60,13",0.25,30,NA,"Choose the same number: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_identify_22,Number Identification,Choose the number you hear.,22,22,"44,52,20",0.25,22,NA,"Choose the same number: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_identify_45,Number Identification,Choose the number you hear.,45,45,"65,54,40",0.25,45,NA,"Choose the same number: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_identify_39,Number Identification,Choose the number you hear.,39,39,"29,38,79",0.25,39,NA,"Choose the same number: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_identify_23,Number Identification,Choose the number you hear.,23,23,"32,21,43",0.25,23,NA,"Choose the same number: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_identify_48,Number Identification,Choose the number you hear.,48,48,"58,40,84",0.25,48,NA,"Choose the same number: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_identify_91,Number Identification,Choose the number you hear.,91,91,"71,1,90",0.25,91,NA,"Choose the same number: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_identify_33,Number Identification,Choose the number you hear.,33,33,"30,43,23",0.25,33,NA,"Choose the same number: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_identify_74,Number Identification,Choose the number you hear.,74,74,"79,68,84",0.25,74,NA,"Choose the same number: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_identify_87,Number Identification,Choose the number you hear.,87,87,"67,78,77",0.25,87,NA,"Choose the same number: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_identify_65,Number Identification,Choose the number you hear.,65,65,"60,55,56",0.25,65,NA,"Choose the same number: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_identify_108,Number Identification,Choose the number you hear.,108,108,"109,100,8",0.25,108,NA,"Choose the same number: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_identify_245,Number Identification,Choose the number you hear.,245,245,"250,205,240",0.25,245,NA,"Choose the same number: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_identify_587,Number Identification,Choose the number you hear.,587,587,"687,87,507",0.25,587,NA,"Choose the same number: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_identify_731,Number Identification,Choose the number you hear.,731,731,"703,31,730",0.25,731,NA,"Choose the same number: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_identify_989,Number Identification,Choose the number you hear.,989,989,"982,89,980",0.25,989,NA,"Choose the same number: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_compare_8_4,Number Comparison,Which number is larger?,"8, 4",8,4,0.5,NA,NA,Choose which is larger. Answer with A or B. A: <option1>; B: <option2>
egma-math,math,math_compare_10_12,Number Comparison,Which number is larger?,"10, 12",12,10,0.5,NA,NA,Choose which is larger. Answer with A or B. A: <option1>; B: <option2>
egma-math,math,math_compare_7_5,Number Comparison,Which is larger?,"7, 5",7,5,0.5,NA,NA,Choose which is larger. Answer with A or B. A: <option1>; B: <option2>
egma-math,math,math_compare_11_24,Number Comparison,Which is larger?,"11, 24",24,11,0.5,NA,NA,Choose which is larger. Answer with A or B. A: <option1>; B: <option2>
egma-math,math,math_compare_39_23,Number Comparison,Which is larger?,"39, 23",39,23,0.5,NA,NA,Choose which is larger. Answer with A or B. A: <option1>; B: <option2>
egma-math,math,math_compare_58_49,Number Comparison,Which is larger?,"58, 49",58,49,0.5,NA,NA,Choose which is larger. Answer with A or B. A: <option1>; B: <option2>
egma-math,math,math_compare_65_67,Number Comparison,Which is larger?,"65, 67",67,65,0.5,NA,NA,Choose which is larger. Answer with A or B. A: <option1>; B: <option2>
egma-math,math,math_compare_94_78,Number Comparison,Which is larger?,"94, 78",94,78,0.5,NA,NA,Choose which is larger. Answer with A or B. A: <option1>; B: <option2>
egma-math,math,math_compare_146_153,Number Comparison,Which is larger?,"146, 153",153,146,0.5,NA,NA,Choose which is larger. Answer with A or B. A: <option1>; B: <option2>
egma-math,math,math_compare_287_534,Number Comparison,Which is larger?,"287, 534",534,287,0.5,NA,NA,Choose which is larger. Answer with A or B. A: <option1>; B: <option2>
egma-math,math,math_compare_623_632,Number Comparison,Which is larger?,"623, 632",632,623,0.5,NA,NA,Choose which is larger. Answer with A or B. A: <option1>; B: <option2>
egma-math,math,math_compare_867_965,Number Comparison,Which is larger?,"867, 965",965,867,0.5,NA,NA,Choose which is larger. Answer with A or B. A: <option1>; B: <option2>
egma-math,math,math_missing_1_2_x_4,Missing Number,What number goes in the blank?,"1, 2, _, 4",3,"0,5,2",0.25,"1, 2, _, 4",NA,"Choose the number that goes in the blank: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_missing_5_10_15_x,Missing Number,What number goes here?,"5, 10, 15, _",20,"25,30,35",0.25,"5, 10, 15, _",NA,"Choose the number that goes in the blank: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_missing_5_6_7_x,Missing Number,What number goes here?,"5, 6, 7, _",8,"9,10,12",0.25,"5, 6, 7, _",NA,"Choose the number that goes in the blank: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_missing_14_15_x_17,Missing Number,What number goes here?,"14, 15, _, 17",16,"18,20,19",0.25,"14, 15, _, 17",NA,"Choose the number that goes in the blank: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_missing_20_x_40_50,Missing Number,What number goes here?,"20, _, 40, 50",30,"10,60,35",0.25,"20, _, 40, 50",NA,"Choose the number that goes in the blank: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_missing_x_300_400_500,Missing Number,What number goes here?,"_, 300, 400, 500",200,"100,150,600",0.25,"_, 300, 400, 500",NA,"Choose the number that goes in the blank: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_missing_2_4_6_x,Missing Number,What number goes here?,"2, 4, 6, _",8,"9,10,7",0.25,"2, 4, 6, _",NA,"Choose the number that goes in the blank: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_missing_348_349_x_351,Missing Number,What number goes here?,"348, 349, _, 351",350,"347,346,352",0.25,"348, 349, _, 351",NA,"Choose the number that goes in the blank: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_missing_28_x_24_22,Missing Number,What number goes here?,"28, _, 24, 22",26,"27,20,29",0.25,"28, _, 24, 22",NA,"Choose the number that goes in the blank: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
