item_uid,task,language,prompt_phrase,full_prompt
synthetic_vocab__key,synthetic-vocab,en,key,Which picture shows key?
synthetic_vocab__key,synthetic-vocab,de,key,Welches Bild zeigt key?
synthetic_vocab__key,synthetic-vocab,es,key,Que imagen muestra key?
synthetic_vocab__banana,synthetic-vocab,en,banana,Which picture shows banana?
synthetic_vocab__banana,synthetic-vocab,de,banana,Welches Bild zeigt banana?
synthetic_vocab__banana,synthetic-vocab,es,banana,Que imagen muestra banana?
synthetic_vocab__button,synthetic-vocab,en,button,Which picture shows button?
synthetic_vocab__button,synthetic-vocab,de,button,Welches Bild zeigt button?
synthetic_vocab__button,synthetic-vocab,es,button,Que imagen muestra button?
synthetic_vocab__umbrella,synthetic-vocab,en,umbrella,Which picture shows umbrella?
synthetic_vocab__umbrella,synthetic-vocab,de,umbrella,Welches Bild zeigt umbrella?
synthetic_vocab__umbrella,synthetic-vocab,es,umbrella,Que imagen muestra umbrella?
synthetic_vocab__celery,synthetic-vocab,en,celery,Which picture shows celery?
synthetic_vocab__celery,synthetic-vocab,de,celery,Welches Bild zeigt celery?
synthetic_vocab__celery,synthetic-vocab,es,celery,Que imagen muestra celery?
synthetic_vocab__hydrant,synthetic-vocab,en,hydrant,Which picture shows hydrant?
synthetic_vocab__hydrant,synthetic-vocab,de,hydrant,Welches Bild zeigt hydrant?
synthetic_vocab__hydrant,synthetic-vocab,es,hydrant,Que imagen muestra hydrant?
synthetic_vocab__microwave,synthetic-vocab,en,microwave,Which picture shows microwave?
synthetic_vocab__microwave,synthetic-vocab,de,microwave,Welches Bild zeigt microwave?
synthetic_vocab__microwave,synthetic-vocab,es,microwave,Que imagen muestra microwave?
synthetic_vocab__stethoscope,synthetic-vocab,en,stethoscope,Which picture shows stethoscope?
synthetic_vocab__stethoscope,synthetic-vocab,de,stethoscope,Welches Bild zeigt stethoscope?
synthetic_vocab__stethoscope,synthetic-vocab,es,stethoscope,Que imagen muestra stethoscope?
synthetic_vocab__sock,synthetic-vocab,en,sock,Which picture shows sock?
synthetic_vocab__sock,synthetic-vocab,de,sock,Welches Bild zeigt sock?
synthetic_vocab__sock,synthetic-vocab,es,sock,Que imagen muestra sock?
synthetic_vocab__chair,synthetic-vocab,en,chair,Which picture shows chair?
synthetic_vocab__chair,synthetic-vocab,de,chair,Welches Bild zeigt chair?
synthetic_vocab__chair,synthetic-vocab,es,chair,Que imagen muestra chair?
synthetic_vocab__bell,synthetic-vocab,en,bell,Which picture shows bell?
synthetic_vocab__bell,synthetic-vocab,de,bell,Welches Bild zeigt bell?
synthetic_vocab__bell,synthetic-vocab,es,bell,Que imagen muestra bell?
synthetic_vocab__phone,synthetic-vocab,en,phone,Which picture shows phone?
synthetic_vocab__phone,synthetic-vocab,de,phone,Welches Bild zeigt phone?
synthetic_vocab__phone,synthetic-vocab,es,phone,Que imagen muestra phone?
synthetic_vocab__apple,synthetic-vocab,en,apple,Which picture shows apple?
synthetic_vocab__apple,synthetic-vocab,de,apple,Welches Bild zeigt apple?
synthetic_vocab__apple,synthetic-vocab,es,apple,Que imagen muestra apple?
synthetic_vocab__balloon,synthetic-vocab,en,balloon,Which picture shows balloon?
synthetic_vocab__balloon,synthetic-vocab,de,balloon,Welches Bild zeigt balloon?
synthetic_vocab__balloon,synthetic-vocab,es,balloon,Que imagen muestra balloon?
synthetic_vocab__scissors,synthetic-vocab,en,scissors,Which picture shows scissors?
synthetic_vocab__scissors,synthetic-vocab,de,scissors,Welches Bild zeigt scissors?
synthetic_vocab__scissors,synthetic-vocab,es,scissors,Que imagen muestra scissors?
synthetic_vocab__leaf,synthetic-vocab,en,leaf,Which picture shows leaf?
synthetic_vocab__leaf,synthetic-vocab,de,leaf,Welches Bild zeigt leaf?
synthetic_vocab__leaf,synthetic-vocab,es,leaf,Que imagen muestra leaf?
synthetic_vocab__tomato,synthetic-vocab,en,tomato,Which picture shows tomato?
synthetic_vocab__tomato,synthetic-vocab,de,tomato,Welches Bild zeigt tomato?
synthetic_vocab__tomato,synthetic-vocab,es,tomato,Que imagen muestra tomato?
synthetic_vocab__elephant,synthetic-vocab,en,elephant,Which picture shows elephant?
synthetic_vocab__elephant,synthetic-vocab,de,elephant,Welches Bild zeigt elephant?
synthetic_vocab__elephant,synthetic-vocab,es,elephant,Que imagen muestra elephant?
synthetic_vocab__camel,synthetic-vocab,en,camel,Which picture shows camel?
synthetic_vocab__camel,synthetic-vocab,de,camel,Welches Bild zeigt camel?
synthetic_vocab__camel,synthetic-vocab,es,camel,Que imagen muestra camel?
synthetic_vocab__broccoli,synthetic-vocab,en,broccoli,Which picture shows broccoli?
synthetic_vocab__broccoli,synthetic-vocab,de,broccoli,Welches Bild zeigt broccoli?
synthetic_vocab__broccoli,synthetic-vocab,es,broccoli,Que imagen muestra broccoli?
synthetic_vocab__helicopter,synthetic-vocab,en,helicopter,Which picture shows helicopter?
synthetic_vocab__helicopter,synthetic-vocab,de,helicopter,Welches Bild zeigt helicopter?
synthetic_vocab__helicopter,synthetic-vocab,es,helicopter,Que imagen muestra helicopter?
synthetic_vocab__nail,synthetic-vocab,en,nail,Which picture shows nail?
synthetic_vocab__nail,synthetic-vocab,de,nail,Welches Bild zeigt nail?
synthetic_vocab__nail,synthetic-vocab,es,nail,Que imagen muestra nail?
