concept_id,label,child_safe,nameability,animacy
aardvark,aardvark,True,0.365694874,1.0
abacus,abacus,True,0.771798368,0.0
accordion,accordion,True,0.903857991,0.0
acorn,acorn,True,0.926932835,0.0
air_conditioner,air conditioner,False,0.773673626,0.0
air_mattress,air mattress,False,0.630343534,0.0
air_pump,air pump,False,0.355353457,0.0
airbag,airbag,True,0.872060436,0.0
airboat,airboat,True,0.384992128,0.0
aircraft_carrier,aircraft carrier,False,0.5241042,0.0
airplane,airplane,True,0.845194686,0.0
album,album,True,0.710623065,0.0
alligator,alligator,True,0.726855962,1.0
almond,almond,True,0.847856302,0.0
aloe,aloe,True,0.566347241,0.0
alpaca,alpaca,True,0.305376104,1.0
altar,altar,True,0.673955108,0.0
aluminum_foil,aluminum foil,False,0.41541337,0.0
amber,amber,True,0.514164087,0.0
ambulance,ambulance,True,0.971993332,0.0
amplifier,amplifier,True,0.663476092,0.0
anchor,anchor,True,0.963252801,0.0
ankle,ankle,True,0.543646442,0.0
anklet,anklet,True,0.48307426,0.0
ant,ant,True,0.920995299,1.0
anteater,anteater,True,0.803669304,1.0
antelope,antelope,True,0.324474688,1.0
antenna,antenna,True,0.769937865,0.0
anvil,anvil,True,0.791938888,0.0
appetizer,appetizer,True,0.254029216,0.0
apple,apple,True,0.985810114,0.0
apple_tree,apple tree,False,0.492292312,0.0
applesauce,applesauce,True,0.80373022,0.0
apron,apron,True,0.928171059,0.0
aquarium,aquarium,True,0.532637456,0.0
arch,arch,True,0.78015745,0.0
arm,arm,True,0.787850282,0.0
armor,armor,True,0.832797066,0.0
arrow,arrow,True,0.865561289,0.0
artichoke,artichoke,True,0.737621832,0.0
arugula,arugula,True,0.260924275,0.0
ashtray,ashtray,False,0.83771807,0.0
asparagus,asparagus,True,0.930119826,0.0
avocado,avocado,True,0.965451389,0.0
awning,awning,True,0.767352015,0.0
axe,axe,True,0.732463819,0.0
baby,baby,True,0.911577596,0.0
backdrop,backdrop,True,0.511485822,0.0
backgammon,backgammon,True,0.632568601,0.0
backpack,backpack,True,0.945947448,0.0
backscratcher,backscratcher,True,0.738642799,0.0
bacon,bacon,True,0.956578947,0.0
badge,badge,True,0.458633669,0.0
badger,badger,True,0.590446224,1.0
bag,bag,True,0.84230978,0.0
bagel,bagel,True,0.868345266,0.0
bagpipe,bagpipe,True,0.861801563,0.0
baklava,baklava,True,0.46355376,0.0
balance_beam,balance beam,False,0.393672766,0.0
ball,ball,True,0.967851307,0.0
balloon,balloon,True,0.991812865,0.0
