item_uid,item,source_image,prompt_aligned_image,trial_type,prompt
tom_reality_known_false_belief,1c,data/assets/2026-03-24/visual/theory-of-mind/1c.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_reality_known_false_belief.webp,false_belief_question,Where will Madison look for her book first?
tom_reality_known_reality_check,1c,data/assets/2026-03-24/visual/theory-of-mind/1c.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_reality_known_reality_check.webp,reality_check_question,And where is her book really?
tom_moral_reasoning_false_belief,2d,data/assets/2026-03-24/visual/theory-of-mind/2d.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_moral_reasoning_false_belief.webp,false_belief_question,"Now, when Ethan comes in from outside, where will he look first for his book?"
tom_moral_reasoning_emotion_reasoning_1,2g,data/assets/2026-03-24/visual/theory-of-mind/2g.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_moral_reasoning_emotion_reasoning_1.webp,emotion_reasoning_question,How do you think Hannah feels about Ethan reaching for that book?
tom_moral_reasoning_emotion_reasoning_2,2g,data/assets/2026-03-24/visual/theory-of-mind/2g.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_moral_reasoning_emotion_reasoning_2.webp,emotion_reasoning_question,How do you think Hannah would feel if she had not seen Ethan reaching for the book?
tom_moral_reasoning_false_belief_1,2f_new2,data/assets/2026-03-24/visual/theory-of-mind/2f_new2.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_moral_reasoning_false_belief_1.webp,false_belief_question,Is Ethan being mean and naughty for taking Hannah's book?
tom_moral_reasoning_false_belief_2,2f_new2,data/assets/2026-03-24/visual/theory-of-mind/2f_new2.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_moral_reasoning_false_belief_2.webp,false_belief_question,Should Ethan get in trouble with the teacher for taking Hannah's book?
tom_moral_reasoning_reality_check,2g,data/assets/2026-03-24/visual/theory-of-mind/2g.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_moral_reasoning_reality_check.webp,reality_check_question,Can you help Hannah find her book? Is it on the shelf or under the coats?
tom_moral_reasoning_reality_check,2f_new2,data/assets/2026-03-24/visual/theory-of-mind/2f_new2.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_moral_reasoning_reality_check.webp,reality_check_question,Can you help Ethan find his book? Is it on the shelf or under the coats?
tom_interpretation_reality_check_1,3d,data/assets/2026-03-24/visual/theory-of-mind/3d.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_interpretation_reality_check_1.webp,reality_check_question,What did Joshua mean to draw?
tom_interpretation_false_belief,3d,data/assets/2026-03-24/visual/theory-of-mind/3d.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_interpretation_false_belief.webp,false_belief_question,"When Isabel and Ivan see this clue, where will they look first for Joshua?"
tom_interpretation_reality_check_2,3d,data/assets/2026-03-24/visual/theory-of-mind/3d.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_interpretation_reality_check_2.webp,reality_check_question,Can you help them find where Joshua really is?
tom_interpretation_emotion_reasoning,3e,data/assets/2026-03-24/visual/theory-of-mind/3e.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_interpretation_emotion_reasoning.webp,emotion_reasoning_question,"Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?"
tom_deception_emotion_reasoning_1,4b_new2,data/assets/2026-03-24/visual/theory-of-mind/4b_new2.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_deception_emotion_reasoning_1.webp,emotion_reasoning_question,How does Joshua feel about losing his truck?
tom_deception_emotion_reasoning_2,4b_new2,data/assets/2026-03-24/visual/theory-of-mind/4b_new2.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_deception_emotion_reasoning_2.webp,emotion_reasoning_question,How would Joshua feel if he found his truck?
tom_deception_false_belief_1,4c_new3,data/assets/2026-03-24/visual/theory-of-mind/4c_new3.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_deception_false_belief_1.webp,false_belief_question,Is it fair that Mother is mad at Joshua for losing his truck?
tom_deception_false_belief_2,4c_new3,data/assets/2026-03-24/visual/theory-of-mind/4c_new3.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_deception_false_belief_2.webp,false_belief_question,Is Mother mad at Isabel?
tom_deception_false_belief_3,4c_new3,data/assets/2026-03-24/visual/theory-of-mind/4c_new3.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_deception_false_belief_3.webp,false_belief_question,Is Joshua mad at Isabel?
tom_deception_reality_check_1,4g,data/assets/2026-03-24/visual/theory-of-mind/4g.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_deception_reality_check_1.webp,reality_check_question,Is Mother mad at Joshua now?
tom_deception_reality_check_2,4g,data/assets/2026-03-24/visual/theory-of-mind/4g.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_deception_reality_check_2.webp,reality_check_question,Is Mother mad at Isabel now?
tom_deception_reality_check_3,4g,data/assets/2026-03-24/visual/theory-of-mind/4g.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_deception_reality_check_3.webp,reality_check_question,Is Joshua mad at Isabel now?
tom_reference_reference,5c_new6,data/assets/2026-03-24/visual/theory-of-mind/5c_new6.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_reference_reference.webp,reference_question,Which cup will Dad give Katie?
tom_reference_reality_check,5c_new6,data/assets/2026-03-24/visual/theory-of-mind/5c_new6.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_reference_reality_check.webp,reality_check_question,Which cup does Katie want?
tom_reference_emotion_reasoning_1,5d,data/assets/2026-03-24/visual/theory-of-mind/5d.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_reference_emotion_reasoning_1.webp,emotion_reasoning_question,How does Katie feel about not getting the cup she wanted?
tom_reference_emotion_reasoning_2,5d,data/assets/2026-03-24/visual/theory-of-mind/5d.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_reference_emotion_reasoning_2.webp,emotion_reasoning_question,How would Katie feel if she had received the cup she wanted?
tom_second_order_reality_check,6b_new2,data/assets/2026-03-24/visual/theory-of-mind/6b_new2.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_second_order_reality_check.webp,reality_check_question,Does Maria know that they are selling shoes in the shop?
tom_second_order_false_belief_1,6c_new2,data/assets/2026-03-24/visual/theory-of-mind/6c_new2.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_second_order_false_belief_1.webp,false_belief_question,Does Sam know that Maria bought some socks?
tom_second_order_false_belief_2,6c_new2,data/assets/2026-03-24/visual/theory-of-mind/6c_new2.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_second_order_false_belief_2.webp,false_belief_question,What does Sam think they are selling at the shop?
tom_second_order_false_belief_1,6d_new2,data/assets/2026-03-24/visual/theory-of-mind/6d_new2.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_second_order_false_belief_1.webp,false_belief_question,What does Maria tell dad?
tom_second_order_false_belief_2,6d_new2,data/assets/2026-03-24/visual/theory-of-mind/6d_new2.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_second_order_false_belief_2.webp,false_belief_question,What does Maria tell dad?
tom_second_order_false_belief_3,6d_new2,data/assets/2026-03-24/visual/theory-of-mind/6d_new2.webp,results/screenshots/theory-of-mind/prompt-aligned/tom_second_order_false_belief_3.webp,false_belief_question,What does Sam think they are selling at the shop?
ha_bump_attribution,hostile-attribution-1b,data/assets/2026-03-24/visual/theory-of-mind/hostile-attribution-1b.webp,results/screenshots/theory-of-mind/prompt-aligned/ha_bump_attribution.webp,attribution_question,Do you think that the boy bumped you on purpose or by accident?
ha_bump_action,hostile-attribution-1b,data/assets/2026-03-24/visual/theory-of-mind/hostile-attribution-1b.webp,results/screenshots/theory-of-mind/prompt-aligned/ha_bump_action.webp,action_question,Now pick one of the three choices as the one you would do:
