screenshot_file,item_uid,assessment_stage,corpus_prompt,visual_scene_description,ui_context,novel_visual_info,error,ui_context_source
2025-07-02T04-13-18-theory-of-mind-001-initial-load.png,,,,A white screen with a black line at the top.,start_screen,,,filename_initial_load
2025-07-02T04-13-18-theory-of-mind-002-task-started.png,,,,"The image depicts a simple, stylized sky with a few clouds. The sky is light blue, and the clouds are white with a few small, white circles representing the sun. The clouds are scattered across the sky, with some appearing closer to the viewer and others further away. There are no other objects or t",transition_screen,,,filename_task_started
2025-07-02T04-13-18-theory-of-mind-003-step-1.png,,instructions,"This is the Stories Game. In this game, you will listen to some stories. Then you will answer questions about the stories.",Screen displaying a message about a game.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-004-step-2.png,,instructions,"Here is Madison. This morning, Madison put her book behind the chair, because she didn’t want anyone to find it.",A cartoon image of a girl sitting on the floor with a book in front of her.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-005-step-3.png,,instructions,"But when Madison was outside playing, someone did find it! And hid it under the rug.",A cartoon girl is playing outside and hiding under a rug.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-006-step-4.png,,instructions,So now it’s reading time and Madison wants her book.,A girl in a pink dress is standing in front of a red chair.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-007-step-5.png,tom_reality_known_false_belief,test_response,Where will Madison look for her book first?,A girl in a pink dress is standing in front of a red box.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-008-step-6.png,tom_reality_known_reality_check,test_response,And where is her book really?,A cartoon girl in a pink dress is standing in front of a red box.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-009-step-7.png,,instructions,Nice work! Here is a new story.,Screen displaying a message with a button.,transition_screen,,,instructions_prompt_transition
2025-07-02T04-13-18-theory-of-mind-010-step-8.png,,instructions,"This morning when he came to school, Ethan put his book on the shelf above the coat hooks. Ethan’s book is blue!",A cartoon boy is standing in front of a coat rack.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-011-step-9.png,,instructions,"And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks onto the floor under the coats, see?",A cartoon image of a room with a coat rack and a window.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-012-step-10.png,,instructions,"Then Hannah comes in and Hannah puts her book up above the coat hooks. Hannah's book is also blue! Ethan is still outside playing, so he didn't see what Hannah was doing.",A cartoon girl is standing in front of a window.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-013-step-11.png,tom_moral_reasoning_false_belief,test_response,"Now, when Ethan comes in from outside, where will he look first for his book?",Ethan is standing in front of a closet.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-014-step-12.png,,instructions,"Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Hannah sees Ethan reaching for that book... the book that is Hannah's!",A cartoon image of a man and a woman standing in front of a closet.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-015-step-13.png,tom_moral_reasoning_emotion_reasoning_1,test_response,How do you think Hannah feels about Ethan reaching for that book?,A cartoon girl is looking out the window.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-016-step-14.png,tom_moral_reasoning_emotion_reasoning_2,test_response,How do you think Hannah would feel if she had not seen Ethan reaching for the book?,A cartoon girl is looking out the window.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-017-step-15.png,tom_moral_reasoning_false_belief_1,test_response,Is Ethan being mean and naughty for taking Hannah's book?,A cartoon image of a girl looking out the window.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-018-step-16.png,tom_moral_reasoning_false_belief_2,test_response,Should Ethan get in trouble with the teacher for taking Hannah's book?,A cartoon image of a girl standing in front of a window.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-019-step-17.png,tom_moral_reasoning_reality_check,test_response,Can you help Hannah find her book? Is it on the shelf or under the coats?,A cartoon girl is looking out the window.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-020-step-18.png,tom_moral_reasoning_reality_check,test_response,Can you help Ethan find his book? Is it on the shelf or under the coats?,A cartoon image of a room with a person looking out the window.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-021-step-19.png,,instructions,Nice work! Here is a new story.,Screen displaying a message with a button.,transition_screen,,,instructions_prompt_transition
2025-07-02T04-13-18-theory-of-mind-022-step-20.png,,instructions,"Joshua, Isabel, and Ivan are playing a game. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them.",A cartoon image of a group of children playing in a park.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-023-step-21.png,,instructions,"So Ivan is going first. He draws this clue in the sandbox, and then he goes to hide.",A cartoon image of three children playing in the sand.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-024-step-22.png,,instructions,"Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him.",A cartoon image of a group of people playing in a sandbox.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-025-step-23.png,,instructions,"Joshua decides to hide behind the fountain. He draws a clue in the sand. He tries to draw the fountain, with the bottom part and the water coming out of it. But the drawing looks like a tree instead! Then Joshua goes and hides behind the fountain.",Joshua hides behind the fountain. He draws a line in the sand He tries to draw the fountain and the water comes out of it. Then Joshua goes and hides behind the fountain.,instruction_screen,,,assessment_stage_instructions
2025-07-02T04-13-18-theory-of-mind-026-step-24.png,tom_interpretation_reality_check_1,test_response,What did Joshua mean to draw?,"The image is a screenshot of a game or interactive application. The main focus is a question posed to the player, ""What did Joshua mean to draw?"" The question is displayed at the top of the image. Below the question, there is an illustration of a scene. The scene shows a man and a child standing in",question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-027-step-25.png,tom_interpretation_false_belief,test_response,"When Isabel and Ivan see this clue, where will they look first for Joshua?",A cartoon image of a man and a child standing in front of a sandbox with a fountain in the background.,question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-028-step-26.png,tom_interpretation_reality_check_2,test_response,Can you help them find where Joshua really is?,"The image is a screenshot of a game interface. The game appears to be a puzzle or adventure game where the player is trying to find the location of a character named Joshua. The game is set in a tropical environment with palm trees and a sandbox area. There is a fountain in the background, and the p",question_screen,,,assessment_stage_test_response
2025-07-02T04-13-18-theory-of-mind-029-step-27.png,tom_interpretation_emotion_reasoning,test_response,"Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?",A cartoon image of a boy and a girl standing in front of a fountain.,question_screen,,,assessment_stage_test_response
