screenshot_file,screenshot_index,step_label,extracted_prompt_text,image_description,stage_guess,matched,match_method,corpus_row_index,block_index,assessment_stage,trial_type,item_uid,corpus_prompt
2025-07-02T04-13-18-theory-of-mind-001-initial-load.png,1,load,,"A game where you have to guess a number between 1 and 100. You have to guess the number and if you get it right, you win. If you get it wrong, you lose.",unknown,False,none,,,,,,
2025-07-02T04-13-18-theory-of-mind-002-task-started.png,2,started,,,unknown,False,none,,,,,,
2025-07-02T04-13-18-theory-of-mind-003-step-1.png,3,1,"This is the Stories Game. In this game, you will listen to some stories. Then you will answer questions about the stories.","Screen showing prompt: This is the Stories Game. In this game, you will listen to some stories. Then you will answer questions about the stories.",instructions,True,index,0,1,instructions,instructions,,"This is the Stories Game. In this game, you will listen to some stories. Then you will answer questions about the stories."
2025-07-02T04-13-18-theory-of-mind-004-step-2.png,4,2,"Here is Madison. This morning, Madison put her book behind the chair, because she didn’t want anyone to find it.","Here is Madison. This morning, Madison put her book behind the chair, because she didn't want anyone to find it.",instructions,True,index,1,1,instructions,instructions,,"Here is Madison. This morning, Madison put her book behind the chair, because she didn’t want anyone to find it."
2025-07-02T04-13-18-theory-of-mind-005-step-3.png,5,3,"But when Madison was outside playing, someone did find it! And hid it under the rug.","But when Madison was outside playing, someone did find it! And hid it under the rug.",instructions,True,index,2,1,instructions,instructions,,"But when Madison was outside playing, someone did find it! And hid it under the rug."
2025-07-02T04-13-18-theory-of-mind-006-step-4.png,6,4,So now it’s reading time and Madison wants her book.,So now it's reading time and Madison wants her book.,instructions,True,index,3,1,instructions,instructions,,So now it’s reading time and Madison wants her book.
2025-07-02T04-13-18-theory-of-mind-007-step-5.png,7,5,Where will Madison look for her book first?,Where will Madison look first for her book?,test_response,True,index,4,1,test_response,false_belief_question,tom_reality_known_false_belief,Where will Madison look for her book first?
2025-07-02T04-13-18-theory-of-mind-008-step-6.png,8,6,And where is her book really?,And where is her book really?,test_response,True,index,5,1,test_response,reality_check_question,tom_reality_known_reality_check,And where is her book really?
2025-07-02T04-13-18-theory-of-mind-009-step-7.png,9,7,Nice work! Here is a new story.,Screen showing prompt: Nice work! Here is a new story.,instructions,True,index,6,2,instructions,instructions,,Nice work! Here is a new story.
2025-07-02T04-13-18-theory-of-mind-010-step-8.png,10,8,"This morning when he came to school, Ethan put his book on the shelf above the coat hooks. Ethan’s book is blue!","This morning when he came to school, Ethan put his book on the shelf above the coat hooks. Ethan's book is blue!",instructions,True,index,7,2,instructions,instructions,,"This morning when he came to school, Ethan put his book on the shelf above the coat hooks. Ethan’s book is blue!"
2025-07-02T04-13-18-theory-of-mind-011-step-9.png,11,9,"And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks onto the floor under the coats, see?","And then he went outside to play, see? Here's Ethan playing outside. And while he was outside playing, Ethan's book fell down from above the coat hooks onto the floor under the coats, see?",instructions,True,index,8,2,instructions,instructions,,"And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks onto the floor under the coats, see?"
2025-07-02T04-13-18-theory-of-mind-012-step-10.png,12,10,"Then Hannah comes in and Hannah puts her book up above the coat hooks. Hannah's book is also blue! Ethan is still outside playing, so he didn't see what Hannah was doing.","Then Hannah comes in and Hannah puts her book up above the coat hooks. Hannah's book is also blue! Ethan is still outside playing, so he didn't see what Hannah was doing.",instructions,True,index,9,2,instructions,instructions,,"Then Hannah comes in and Hannah puts her book up above the coat hooks. Hannah's book is also blue! Ethan is still outside playing, so he didn't see what Hannah was doing."
2025-07-02T04-13-18-theory-of-mind-013-step-11.png,13,11,"Now, when Ethan comes in from outside, where will he look first for his book?","Screen showing prompt: Now, when Ethan comes in from outside, where will he look first for his book?",test_response,True,index,10,2,test_response,false_belief_question,tom_moral_reasoning_false_belief,"Now, when Ethan comes in from outside, where will he look first for his book?"
2025-07-02T04-13-18-theory-of-mind-014-step-12.png,14,12,"Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Hannah sees Ethan reaching for that book... the book that is Hannah's!","Let's see what he does. Oh look, here is Ethan reaching for that book... the book that is Hannah's!",instructions,True,index,11,2,instructions,instructions,,"Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Hannah sees Ethan reaching for that book... the book that is Hannah's!"
2025-07-02T04-13-18-theory-of-mind-015-step-13.png,15,13,How do you think Hannah feels about Ethan reaching for that book?,How do you think Hannah feels about Ethan reaching for that book?,test_response,True,index,12,2,test_response,emotion_reasoning_question,tom_moral_reasoning_emotion_reasoning_1,How do you think Hannah feels about Ethan reaching for that book?
2025-07-02T04-13-18-theory-of-mind-016-step-14.png,16,14,How do you think Hannah would feel if she had not seen Ethan reaching for the book?,How do you think Hannah would feel if she had not seen Ethan reaching for the book?,test_response,True,index,13,2,test_response,emotion_reasoning_question,tom_moral_reasoning_emotion_reasoning_2,How do you think Hannah would feel if she had not seen Ethan reaching for the book?
2025-07-02T04-13-18-theory-of-mind-017-step-15.png,17,15,Is Ethan being mean and naughty for taking Hannah's book?,Is Ethan being mean and naughty for taking Hannah's book?,test_response,True,index,14,2,test_response,false_belief_question,tom_moral_reasoning_false_belief_1,Is Ethan being mean and naughty for taking Hannah's book?
2025-07-02T04-13-18-theory-of-mind-018-step-16.png,18,16,Should Ethan get in trouble with the teacher for taking Hannah's book?,Should Ethan get in trouble with the teacher for taking Hannah's book?,test_response,True,index,15,2,test_response,false_belief_question,tom_moral_reasoning_false_belief_2,Should Ethan get in trouble with the teacher for taking Hannah's book?
2025-07-02T04-13-18-theory-of-mind-019-step-17.png,19,17,Can you help Hannah find her book? Is it on the shelf or under the coats?,Can you help Hannah find her book? Is it on the shelf or under the coats?,test_response,True,index,16,2,test_response,reality_check_question,tom_moral_reasoning_reality_check,Can you help Hannah find her book? Is it on the shelf or under the coats?
2025-07-02T04-13-18-theory-of-mind-020-step-18.png,20,18,Can you help Ethan find his book? Is it on the shelf or under the coats?,Screen showing prompt: Can you help Ethan find his book? Is it on the shelf or under the coats?,test_response,True,index,17,2,test_response,reality_check_question,tom_moral_reasoning_reality_check,Can you help Ethan find his book? Is it on the shelf or under the coats?
2025-07-02T04-13-18-theory-of-mind-021-step-19.png,21,19,Nice work! Here is a new story.,Screen showing prompt: Nice work! Here is a new story.,instructions,True,index,18,3,instructions,instructions,,Nice work! Here is a new story.
2025-07-02T04-13-18-theory-of-mind-022-step-20.png,22,20,"Joshua, Isabel, and Ivan are playing a game. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them.","Screen showing prompt: Joshua, Isabel, and Ivan are playing a game. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them.",instructions,True,index,19,3,instructions,instructions,,"Joshua, Isabel, and Ivan are playing a game. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them."
2025-07-02T04-13-18-theory-of-mind-023-step-21.png,23,21,"So Ivan is going first. He draws this clue in the sandbox, and then he goes to hide.","So Ivan is going first. He draws this clue in the sandbox, and then he goes to hide.",instructions,True,index,20,3,instructions,instructions,,"So Ivan is going first. He draws this clue in the sandbox, and then he goes to hide."
2025-07-02T04-13-18-theory-of-mind-024-step-22.png,24,22,"Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him.","Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him.",instructions,True,index,21,3,instructions,instructions,,"Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him."
2025-07-02T04-13-18-theory-of-mind-025-step-23.png,25,23,"Joshua decides to hide behind the fountain. He draws a clue in the sand. He tries to draw the fountain, with the bottom part and the water coming out of it. But the drawing looks like a tree instead! Then Joshua goes and hides behind the fountain.","Screen showing prompt: Joshua decides to hide behind the fountain. He draws a clue in the sand. He tries to draw the fountain, with the bottom part and the water coming out of it. But the drawing looks like a tree instead! Then Joshua goes and hides behind the fountain.",instructions,True,index,22,3,instructions,instructions,,"Joshua decides to hide behind the fountain. He draws a clue in the sand. He tries to draw the fountain, with the bottom part and the water coming out of it. But the drawing looks like a tree instead! Then Joshua goes and hides behind the fountain."
2025-07-02T04-13-18-theory-of-mind-026-step-24.png,26,24,What did Joshua mean to draw?,What did Joshua mean to draw?,test_response,True,index,23,3,test_response,reality_check_question,tom_interpretation_reality_check_1,What did Joshua mean to draw?
2025-07-02T04-13-18-theory-of-mind-027-step-25.png,27,25,"When Isabel and Ivan see this clue, where will they look first for Joshua?","When Isabel and Ivan see this clue, where will they look first for Joshua?",test_response,True,index,24,3,test_response,false_belief_question,tom_interpretation_false_belief,"When Isabel and Ivan see this clue, where will they look first for Joshua?"
2025-07-02T04-13-18-theory-of-mind-028-step-26.png,28,26,Can you help them find where Joshua really is?,Can you help them find where Joshua really is?,test_response,True,index,25,3,test_response,reality_check_question,tom_interpretation_reality_check_2,Can you help them find where Joshua really is?
2025-07-02T04-13-18-theory-of-mind-029-step-27.png,29,27,"Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?","Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?",test_response,True,index,26,3,test_response,emotion_reasoning_question,tom_interpretation_emotion_reasoning,"Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?"
2025-07-02T04-13-18-theory-of-mind-030-step-28.png,30,28,"Now the games are over, and it's almost time to go home. Mother tells the kids to find all of their toys.","Now the games are over, and it's almost time to go home. Mother tells the kids to find all of their toys.",instructions,True,index,27,4,instructions,instructions,,"Now the games are over, and it's almost time to go home. Mother tells the kids to find all of their toys."
2025-07-02T04-13-18-theory-of-mind-031-step-29.png,31,29,"Joshua brought his toy truck with him to the park, but now he can't find it. He's looking everywhere but he can't find it.","Screen showing prompt: Joshua brought his toy truck with him to the park, but now he can't find it. He's looking everywhere but he can't find it.",instructions,True,index,28,4,instructions,instructions,,"Joshua brought his toy truck with him to the park, but now he can't find it. He's looking everywhere but he can't find it."
2025-07-02T04-13-18-theory-of-mind-032-step-30.png,32,30,How does Joshua feel about losing his truck?,Screen showing prompt: How does Joshua feel about losing his truck?,test_response,True,index,29,4,test_response,emotion_reasoning_question,tom_deception_emotion_reasoning_1,How does Joshua feel about losing his truck?
2025-07-02T04-13-18-theory-of-mind-033-step-31.png,33,31,How would Joshua feel if he found his truck?,How would Joshua feel if he found his truck?,test_response,True,index,30,4,test_response,emotion_reasoning_question,tom_deception_emotion_reasoning_2,How would Joshua feel if he found his truck?
2025-07-02T04-13-18-theory-of-mind-034-step-32.png,34,32,"Joshua can't find his truck because earlier in the day, when no one was looking, Isabel took the toy truck and buried it in the sandbox.","Screen showing prompt: Joshua can't find his truck because earlier in the day, when no one was looking, Isabel took the toy truck and buried it in the sandbox.",instructions,True,index,31,4,instructions,instructions,,"Joshua can't find his truck because earlier in the day, when no one was looking, Isabel took the toy truck and buried it in the sandbox."
2025-07-02T04-13-18-theory-of-mind-035-step-33.png,35,33,"So Joshua looks everywhere and he can't find his toy truck. Mother gets mad at Joshua, because he lost his truck.","So Joshua looks everywhere and he can't find his toy truck. Mother gets mad at Joshua, because he lost his truck.",instructions,True,index,32,4,instructions,instructions,,"So Joshua looks everywhere and he can't find his toy truck. Mother gets mad at Joshua, because he lost his truck."
2025-07-02T04-13-18-theory-of-mind-036-step-34.png,36,34,Is it fair that Mother is mad at Joshua for losing his truck?,Is it fair that Mother is mad at Joshua for losing his truck?,test_response,True,index,33,4,test_response,false_belief_question,tom_deception_false_belief_1,Is it fair that Mother is mad at Joshua for losing his truck?
2025-07-02T04-13-18-theory-of-mind-037-step-35.png,37,35,Is Mother mad at Isabel?,Is Mother mad at Isabel?,test_response,True,index,34,4,test_response,false_belief_question,tom_deception_false_belief_2,Is Mother mad at Isabel?
2025-07-02T04-13-18-theory-of-mind-038-step-36.png,38,36,Is Joshua mad at Isabel?,Is Joshua mad at Isabel?,test_response,True,index,35,4,test_response,false_belief_question,tom_deception_false_belief_3,Is Joshua mad at Isabel?
2025-07-02T04-13-18-theory-of-mind-039-step-37.png,39,37,"When Isabel sees that Mother is mad at Joshua, she goes to the sandbox and digs up the toy truck, and gives it back to Joshua.","When Isabel sees that Mother is mad at Joshua, she goes to the sandbox and digs up the toy truck, and gives it back to Joshua.",instructions,True,index,36,4,instructions,instructions,,"When Isabel sees that Mother is mad at Joshua, she goes to the sandbox and digs up the toy truck, and gives it back to Joshua."
2025-07-02T04-13-18-theory-of-mind-040-step-38.png,40,38,Is Mother mad at Joshua now?,Is Mother mad at Joshua now?,test_response,True,index,37,4,test_response,reality_check_question,tom_deception_reality_check_1,Is Mother mad at Joshua now?
2025-07-02T04-13-18-theory-of-mind-041-step-39.png,41,39,Is Mother mad at Isabel now?,Is Mother mad at Isabel now?,test_response,True,index,38,4,test_response,reality_check_question,tom_deception_reality_check_2,Is Mother mad at Isabel now?
2025-07-02T04-13-18-theory-of-mind-042-step-40.png,42,40,Is Joshua mad at Isabel now?,Is Joshua mad at Isabel now?,test_response,True,index,39,4,test_response,reality_check_question,tom_deception_reality_check_3,Is Joshua mad at Isabel now?
2025-07-02T04-13-18-theory-of-mind-043-step-41.png,43,41,"Isabel tells Joshua that she’s very sorry, and she gives him a big hug. Joshua gives her a big hug back, and Mother joins in.","Screen showing prompt: Isabel tells Joshua that she’s very sorry, and she gives him a big hug. Joshua gives her a big hug back, and Mother joins in.",instructions,True,index,40,4,instructions,instructions,,"Isabel tells Joshua that she’s very sorry, and she gives him a big hug. Joshua gives her a big hug back, and Mother joins in."
2025-07-02T04-13-18-theory-of-mind-044-step-42.png,44,42,Nice work! Here is a new story.,Screen showing prompt: Nice work! Here is a new story.,instructions,True,index,41,5,instructions,instructions,,Nice work! Here is a new story.
2025-07-02T04-13-18-theory-of-mind-045-step-43.png,45,43,"This is Katie. Earlier today, Katie's mom was cleaning the house, while Katie watched. Mom left three cups in the kitchen. There is a small cup on the counter, a medium sized cup on the table, and a big cup that she put away up high, on the shelf.","This is Katie. Earlier, Katie's mom was cleaning the house, while Katie watched. Mom left three cups in the kitchen. There is a small cup on the counter, a medium cup on the table, and a big cup that she put away up high, on the shelf.",instructions,True,index,42,5,instructions,instructions,,"This is Katie. Earlier today, Katie's mom was cleaning the house, while Katie watched. Mom left three cups in the kitchen. There is a small cup on the counter, a medium sized cup on the table, and a big cup that she put away up high, on the shelf."
2025-07-02T04-13-18-theory-of-mind-046-step-44.png,46,44,"Katie and Dad just walked in and Katie asks her dad to get her a cup. Katie tells her Dad, “I want the big cup!”","Katie and Dad just walked in and Katie asks her dad to get her a cup. Katie tells her Dad, 'I want the big cup!'",instructions,True,index,43,5,instructions,instructions,,"Katie and Dad just walked in and Katie asks her dad to get her a cup. Katie tells her Dad, “I want the big cup!”"
2025-07-02T04-13-18-theory-of-mind-047-step-45.png,47,45,Which cup will Dad give Katie?,Which cup will Dad give Katie?,test_response,True,index,44,5,test_response,reference_question,tom_reference_reference,Which cup will Dad give Katie?
2025-07-02T04-13-18-theory-of-mind-048-step-46.png,48,46,Which cup does Katie want?,Which cup does Katie want?,test_response,True,index,45,5,test_response,reality_check_question,tom_reference_reality_check,Which cup does Katie want?
2025-07-02T04-13-18-theory-of-mind-049-step-47.png,49,47,How does Katie feel about not getting the cup she wanted?,Screen showing prompt: How does Katie feel about not getting the cup she wanted?,test_response,True,index,46,5,test_response,emotion_reasoning_question,tom_reference_emotion_reasoning_1,How does Katie feel about not getting the cup she wanted?
2025-07-02T04-13-18-theory-of-mind-050-step-48.png,50,48,How would Katie feel if she had received the cup she wanted?,How would Katie feel if she had received the cup she wanted?,test_response,True,index,47,5,test_response,emotion_reasoning_question,tom_reference_emotion_reasoning_2,How would Katie feel if she had received the cup she wanted?
