prompt_row_index,item_uid,item,source_image,prompt_aligned_image,trial_type,prompt
1,tom_reality_known_false_belief,1c,data/assets/2026-03-24/visual/theory-of-mind/1c.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/001__tom_reality_known_false_belief.webp,false_belief_question,Where will Madison look for her book first?
2,tom_reality_known_reality_check,1c,data/assets/2026-03-24/visual/theory-of-mind/1c.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/002__tom_reality_known_reality_check.webp,reality_check_question,And where is her book really?
3,tom_moral_reasoning_false_belief,2d,data/assets/2026-03-24/visual/theory-of-mind/2d.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/003__tom_moral_reasoning_false_belief.webp,false_belief_question,"Now, when Ethan comes in from outside, where will he look first for his book?"
4,tom_moral_reasoning_emotion_reasoning_1,2g,data/assets/2026-03-24/visual/theory-of-mind/2g.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/004__tom_moral_reasoning_emotion_reasoning_1.webp,emotion_reasoning_question,How do you think Hannah feels about Ethan reaching for that book?
5,tom_moral_reasoning_emotion_reasoning_2,2g,data/assets/2026-03-24/visual/theory-of-mind/2g.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/005__tom_moral_reasoning_emotion_reasoning_2.webp,emotion_reasoning_question,How do you think Hannah would feel if she had not seen Ethan reaching for the book?
6,tom_moral_reasoning_false_belief_1,2f_new2,data/assets/2026-03-24/visual/theory-of-mind/2f_new2.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/006__tom_moral_reasoning_false_belief_1.webp,false_belief_question,Is Ethan being mean and naughty for taking Hannah's book?
7,tom_moral_reasoning_false_belief_2,2f_new2,data/assets/2026-03-24/visual/theory-of-mind/2f_new2.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/007__tom_moral_reasoning_false_belief_2.webp,false_belief_question,Should Ethan get in trouble with the teacher for taking Hannah's book?
8,tom_moral_reasoning_reality_check,2g,data/assets/2026-03-24/visual/theory-of-mind/2g.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/008__tom_moral_reasoning_reality_check.webp,reality_check_question,Can you help Hannah find her book? Is it on the shelf or under the coats?
9,tom_moral_reasoning_reality_check,2f_new2,data/assets/2026-03-24/visual/theory-of-mind/2f_new2.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/009__tom_moral_reasoning_reality_check.webp,reality_check_question,Can you help Ethan find his book? Is it on the shelf or under the coats?
10,tom_interpretation_reality_check_1,3d,data/assets/2026-03-24/visual/theory-of-mind/3d.webp,results/screenshots/theory-of-mind/prompt-aligned-by-row/010__tom_interpretation_reality_check_1.webp,reality_check_question,What did Joshua mean to draw?
