item_uid,answer,high_similarity_distractor,medium_similarity_distractor,low_similarity_distractor,high_similarity_aoa,medium_similarity_aoa,low_similarity_aoa,age_band,category,hardness
synthetic_vocab__key,key,rag,dollhouse,lava,,,,4,object,1
synthetic_vocab__banana,banana,lemon,crib,hyena,,,,4,object,1
synthetic_vocab__button,button,knob,coal,floss,,,,5,object,2
synthetic_vocab__umbrella,umbrella,raincoat,chip,noodle,,,,6,object,2
synthetic_vocab__celery,celery,lettuce,cooler,anteater,,,,6,object,2
synthetic_vocab__hydrant,hydrant,hose,throne,cable,,,,7,object,2
synthetic_vocab__microwave,microwave,oven,eggnog,suspenders,,,,8,object,3
synthetic_vocab__stethoscope,stethoscope,headset,hinge,aardvark,,,,8,object,3
synthetic_vocab__sock,sock,shoe,snowball,ladybug,,,,3,object,1
synthetic_vocab__chair,chair,recliner,streetlight,dalmatian,,,,3,object,1
synthetic_vocab__bell,bell,van,suit,jellyfish,,,,4,object,1
synthetic_vocab__phone,phone,game,dynamite,chipmunk,,,,4,object,1
synthetic_vocab__apple,apple,candy,cardboard,porcupine,,,,4,object,1
synthetic_vocab__balloon,balloon,ball,tape,asparagus,,,,4,object,1
synthetic_vocab__scissors,scissors,pliers,coin,meatloaf,,,,4,object,1
synthetic_vocab__leaf,leaf,plant,brownie,gumball,,,,5,object,2
synthetic_vocab__tomato,tomato,ketchup,lumber,perfume,,,,5,object,2
synthetic_vocab__elephant,elephant,horse,penguin,xylophone,,,,5,animal,2
synthetic_vocab__camel,camel,donkey,oyster,screwdriver,,,,5,animal,2
synthetic_vocab__broccoli,broccoli,vegetable,ring,splinter,,,,5,object,2
synthetic_vocab__helicopter,helicopter,bus,rim,platypus,,,,5,object,2
synthetic_vocab__nail,nail,pill,bongo,unicycle,,,,5,object,2
synthetic_vocab__anchor,anchor,cross,flipper,toucan,,,,6,object,2
synthetic_vocab__punch,punch,plug,checkbook,tarantula,,,,6,object,2
synthetic_vocab__peacock,peacock,bird,beetle,clothesline,,,,6,animal,2
synthetic_vocab__stapler,stapler,staple,earring,orangutan,,,,6,object,2
synthetic_vocab__camera,camera,photograph,vacuum,poinsettia,,,,6,object,2
synthetic_vocab__onion,onion,garlic,breakfast,corkboard,,,,6,object,2
synthetic_vocab__mailbox,mailbox,mail,pancake,iguana,,,,6,object,2
synthetic_vocab__cauliflower,cauliflower,cabbage,outfit,sundial,,,,6,object,2
synthetic_vocab__card,card,file,swimsuit,tool,,,,6,object,2
synthetic_vocab__owl,owl,eagle,blowfish,boulder,,,,6,animal,2
synthetic_vocab__cactus,cactus,cucumber,sailboat,bassinet,,,,7,object,2
synthetic_vocab__hanger,hanger,hammer,piano,seal,,,,7,object,2
synthetic_vocab__binoculars,binoculars,eyepiece,lamppost,tumbleweed,,,,7,object,2
synthetic_vocab__iron,iron,robot,chalk,backgammon,,,,7,object,2
synthetic_vocab__taco,taco,tee,battery,seismograph,,,,8,object,3
synthetic_vocab__tongs,tongs,shoehorn,wheat,airboat,,,,8,object,3
synthetic_vocab__crown,crown,bow,veil,hummingbird,,,,8,object,3
synthetic_vocab__wrench,wrench,icepick,faucet,mistletoe,,,,8,object,3
synthetic_vocab__bowtie,bowtie,bonnet,cardigan,jumpsuit,,,,8,object,3
synthetic_vocab__calculator,calculator,computer,fudge,anvil,,,,8,object,3
synthetic_vocab__accordion,accordion,washboard,pulley,cheetah,,,,9,object,4
synthetic_vocab__chandelier,chandelier,lightbulb,limousine,manatee,,,,9,object,4
synthetic_vocab__microscope,microscope,stem,crossbow,domino,,,,9,object,4
synthetic_vocab__avocado,avocado,guacamole,dial,pillbox,,,,9,object,4
synthetic_vocab__clipper,clipper,riser,corkscrew,sawhorse,,,,10,object,4
synthetic_vocab__plunger,plunger,mallet,charcoal,cockatoo,,,,10,object,4
synthetic_vocab__croissant,croissant,pastry,sheath,landmine,,,,10,object,4
synthetic_vocab__inhaler,inhaler,vial,ramp,boa,,,,10,object,4
synthetic_vocab__toilet,toilet,bathtub,cracker,walrus,3.220,4.900,5.060,4,object,1
synthetic_vocab__bear,bear,wolf,crab,dustpan,4.500,5.280,6.470,4,animal,1
synthetic_vocab__book,book,paper,dice,caterpillar,4.000,6.370,5.170,4,object,1
synthetic_vocab__egg,egg,yolk,curtain,seatbelt,5.890,4.950,6.470,4,object,1
synthetic_vocab__pencil,pencil,pen,mud,hippopotamus,5.110,4.050,7.000,4,object,1
synthetic_vocab__bench,bench,couch,jar,octopus,3.740,5.440,6.260,4,object,1
synthetic_vocab__watch,watch,bracelet,pacifier,reindeer,5.680,4.560,3.580,4,object,1
synthetic_vocab__wheel,wheel,drum,coconut,hook,4.630,6.500,6.260,4,object,1
synthetic_vocab__clock,clock,screen,wing,peppermint,5.840,4.790,5.700,4,object,1
synthetic_vocab__corn,corn,grain,fireworks,doorknocker,7.440,4.950,7.060,5,object,2
synthetic_vocab__feather,feather,rooster,lobster,chalkboard,6.410,7.440,5.780,5,animal,2
synthetic_vocab__tie,tie,strap,carriage,handprint,5.610,5.840,5.110,5,object,2
synthetic_vocab__zebra,zebra,giraffe,grasshopper,propeller,5.000,5.780,7.000,5,animal,2
synthetic_vocab__bat,bat,rat,leech,seaweed,5.110,7.840,6.740,5,animal,2
synthetic_vocab__pretzel,pretzel,peanut,clothes,warthog,5.000,3.110,7.820,5,object,2
synthetic_vocab__snake,snake,hawk,bee,highchair,6.740,5.000,3.790,5,animal,2
synthetic_vocab__guitar,guitar,violin,closet,pearl,7.450,5.000,6.280,5,object,2
synthetic_vocab__meatball,meatball,muffin,wineglass,doormat,5.110,8.780,7.210,6,object,2
synthetic_vocab__dolphin,dolphin,shark,flamingo,knitting,5.470,6.320,7.240,6,animal,2
synthetic_vocab__ambulance,ambulance,truck,locket,backscratcher,3.790,8.350,6.630,6,object,2
synthetic_vocab__stool,stool,table,tablecloth,melon,4.390,6.260,4.210,6,object,2
synthetic_vocab__blueberry,blueberry,berry,cabinet,goldfish,5.210,6.060,4.500,6,object,2
synthetic_vocab__fence,fence,railing,crane,cashew,6.560,6.780,8.680,6,object,2
synthetic_vocab__timer,timer,tag,motorcycle,starfish,5.000,5.050,5.760,6,object,2
synthetic_vocab__swan,swan,goose,yak,mascara,5.150,7.780,9.210,6,animal,2
synthetic_vocab__brick,brick,block,cranberry,hairpin,4.790,6.450,8.170,6,object,2
synthetic_vocab__mushroom,mushroom,fungus,tortilla,overalls,8.440,8.280,8.280,6,object,2
synthetic_vocab__globe,globe,bubble,mitten,stockings,3.790,4.720,5.440,6,object,2
synthetic_vocab__scooter,scooter,coop,trombone,windowsill,8.250,7.830,5.170,7,object,2
synthetic_vocab__toaster,toaster,heater,jewel,wreath,6.100,6.220,7.060,7,object,2
synthetic_vocab__marble,marble,crystal,shield,pheasant,7.780,6.500,9.680,7,object,2
synthetic_vocab__extinguisher,extinguisher,lighter,bead,ravioli,7.120,5.630,6.580,7,object,2
synthetic_vocab__fireplace,fireplace,altar,reel,ratchet,7.160,9.120,10.210,7,object,2
synthetic_vocab__headrest,headrest,footrest,birdbath,origami,6.550,5.950,9.240,8,object,3
synthetic_vocab__scorpion,scorpion,cobra,bison,denture,7.470,8.110,10.160,8,animal,3
synthetic_vocab__torch,torch,blowtorch,leash,gravestone,9.940,5.790,7.370,8,object,3
synthetic_vocab__makeup,makeup,peg,bracket,sprouts,6.830,8.560,9.110,8,object,3
synthetic_vocab__banjo,banjo,basil,visor,cockroach,10.130,7.830,6.250,8,object,3
synthetic_vocab__compass,compass,bomb,mousetrap,forklift,8.000,6.780,9.110,8,object,3
synthetic_vocab__funnel,funnel,spout,stirrup,valve,8.000,9.680,10.780,8,object,3
synthetic_vocab__sling,sling,brace,stamp,penlight,7.890,6.330,11.000,9,object,4
synthetic_vocab__whisk,whisk,whip,grinder,kaleidoscope,7.000,8.680,7.410,9,object,4
synthetic_vocab__shredder,shredder,sweeper,shears,trunk,8.220,9.460,8.300,9,object,4
synthetic_vocab__saxophone,saxophone,clarinet,firewood,hail,9.220,6.610,7.900,9,object,4
synthetic_vocab__keyboard,keyboard,tablet,urinal,gazelle,6.830,8.470,9.370,9,object,4
synthetic_vocab__spur,spur,spear,wheelbarrow,videocassette,7.220,6.780,7.110,9,object,4
synthetic_vocab__gong,gong,gem,grater,leopard,7.680,8.880,6.840,10,object,4
synthetic_vocab__boomerang,boomerang,bumper,charger,incense,7.320,10.630,10.450,10,object,4
synthetic_vocab__ladle,ladle,penholder,mold,organ,9.950,9.260,8.720,10,object,4
synthetic_vocab__flask,flask,filter,beanie,poppy,8.050,10.720,10.370,11,object,4
