item_uid,task,language,prompt_phrase,full_prompt
vocab__cat,vocab,en,cat,Which picture shows cat?
vocab__cat,vocab,de,cat,Welches Bild zeigt cat?
vocab__cat,vocab,es,cat,¿Qué imagen muestra cat?
vocab__dog,vocab,en,dog,Which picture shows dog?
vocab__dog,vocab,de,dog,Welches Bild zeigt dog?
vocab__dog,vocab,es,dog,¿Qué imagen muestra dog?
vocab__fish,vocab,en,fish,Which picture shows fish?
vocab__fish,vocab,de,fish,Welches Bild zeigt fish?
vocab__fish,vocab,es,fish,¿Qué imagen muestra fish?
vocab__shoe,vocab,en,shoe,Which picture shows shoe?
vocab__shoe,vocab,de,shoe,Welches Bild zeigt shoe?
vocab__shoe,vocab,es,shoe,¿Qué imagen muestra shoe?
vocab__apple,vocab,en,apple,Which picture shows apple?
vocab__apple,vocab,de,apple,Welches Bild zeigt apple?
vocab__apple,vocab,es,apple,¿Qué imagen muestra apple?
vocab__book,vocab,en,book,Which picture shows book?
vocab__book,vocab,de,book,Welches Bild zeigt book?
vocab__book,vocab,es,book,¿Qué imagen muestra book?
vocab__cup,vocab,en,cup,Which picture shows cup?
vocab__cup,vocab,de,cup,Welches Bild zeigt cup?
vocab__cup,vocab,es,cup,¿Qué imagen muestra cup?
vocab__tree,vocab,en,tree,Which picture shows tree?
vocab__tree,vocab,de,tree,Welches Bild zeigt tree?
vocab__tree,vocab,es,tree,¿Qué imagen muestra tree?
vocab__ball,vocab,en,ball,Which picture shows ball?
vocab__ball,vocab,de,ball,Welches Bild zeigt ball?
vocab__ball,vocab,es,ball,¿Qué imagen muestra ball?
vocab__car,vocab,en,car,Which picture shows car?
vocab__car,vocab,de,car,Welches Bild zeigt car?
vocab__car,vocab,es,car,¿Qué imagen muestra car?
vocab__wagon,vocab,en,wagon,Which picture shows wagon?
vocab__wagon,vocab,de,wagon,Welches Bild zeigt wagon?
vocab__wagon,vocab,es,wagon,¿Qué imagen muestra wagon?
vocab__bird,vocab,en,bird,Which picture shows bird?
vocab__bird,vocab,de,bird,Welches Bild zeigt bird?
vocab__bird,vocab,es,bird,¿Qué imagen muestra bird?
vocab__sock,vocab,en,sock,Which picture shows sock?
vocab__sock,vocab,de,sock,Welches Bild zeigt sock?
vocab__sock,vocab,es,sock,¿Qué imagen muestra sock?
vocab__banana,vocab,en,banana,Which picture shows banana?
vocab__banana,vocab,de,banana,Welches Bild zeigt banana?
vocab__banana,vocab,es,banana,¿Qué imagen muestra banana?
vocab__bed,vocab,en,bed,Which picture shows bed?
vocab__bed,vocab,de,bed,Welches Bild zeigt bed?
vocab__bed,vocab,es,bed,¿Qué imagen muestra bed?
vocab__chair,vocab,en,chair,Which picture shows chair?
vocab__chair,vocab,de,chair,Welches Bild zeigt chair?
vocab__chair,vocab,es,chair,¿Qué imagen muestra chair?
vocab__spoon,vocab,en,spoon,Which picture shows spoon?
