source,block_index,audio_file,item,answer,trial_type,response_alternatives,chance_level,assessment_stage,item_id,d,prompt,orig_item_num,task,corpus_id,task_id,item_uid,randomize,time_limit,difficulty,trial_num,required_selections,image
ToM-battery,1,ToM-intro,,,instructions,,,instructions,ToM-intro,,"This is the Stories Game. In this game, you will listen to some stories. Then you will answer questions about the stories.",,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,
ToM-battery,1,ToM-scene1-instruct1,1a,,instructions,,,instructions,ToM-scene1-instruct1,,"Here is Madison. This morning, Madison put her book behind the chair, because she didn’t want anyone to find it.",1,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,1a.webp
ToM-battery,1,ToM-scene1-instruct2,1b,,instructions,,,instructions,ToM-scene1-instruct2,,"But when Madison was outside playing, someone did find it! And hid it under the rug.",2,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,1b.webp
ToM-battery,1,ToM-scene1-instruct3,1c,,instructions,,,instructions,ToM-scene1-instruct3,,So now it’s reading time and Madison wants her book.,3,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,1c.webp
ToM-battery,1,ToM-scene1-q1-false_belief,1c,chair,false_belief_question,rug,0.5,test_response,ToM-scene1-q1-false_belief,,Where will Madison look for her book first?,4,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_reality_known_false_belief,at_block_level,,,,,1c.webp
ToM-battery,1,ToM-scene1-q2-reality_check,1c,rug,reality_check_question,chair,0.5,test_response,ToM-scene1-q2-reality_check,,And where is her book really?,5,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_reality_known_reality_check,at_block_level,,,,,1c.webp
ToM-battery,2,ToM-transition,,,instructions,,,instructions,ToM-transition,,Nice work! Here is a new story.,,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,
ToM-battery,2,ToM-scene2-instruct1,2a,,instructions,,,instructions,ToM-scene2-instruct1,,"This morning when he came to school, Ethan put his book on the shelf above the coat hooks. Ethan’s book is blue!",7,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,2a.webp
ToM-battery,2,ToM-scene2-instruct2,2b,,instructions,,,instructions,ToM-scene2-instruct2,,"And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks onto the floor under the coats, see?",8,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,2b.webp
ToM-battery,2,ToM-scene2-instruct3,2c,,instructions,,,instructions,ToM-scene2-instruct3,,"Then Hannah comes in and Hannah puts her book up above the coat hooks. Hannah's book is also blue! Ethan is still outside playing, so he didn't see what Hannah was doing.",9,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,2c.webp
ToM-battery,2,ToM-scene2-q1-false_belief,2d,shelf,false_belief_question,coats,0.5,test_response,ToM-scene2-q1-false_belief,,"Now, when Ethan comes in from outside, where will he look first for his book?",10,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_moral_reasoning_false_belief,at_block_level,,,,,2d.webp
ToM-battery,2,ToM-scene2-instruct4,2e,,instructions,,,instructions,ToM-scene2-instruct4,,"Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Hannah sees Ethan reaching for that book... the book that is Hannah's!",11,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,2e.webp
ToM-battery,2,ToM-scene2-q2-emotion_reasoning,2g,angry,emotion_reasoning_question,"happy,calm,scared",0.25,test_response,ToM-scene2-q2-emotion_reasoning,,How do you think Hannah feels about Ethan reaching for that book?,12,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_moral_reasoning_emotion_reasoning_1,yes,,,,,2g.webp
ToM-battery,2,ToM-scene2-q7-emotion_reasoning,2g,calm,emotion_reasoning_question,"happy,angry,scared",0.25,test_response,ToM-scene2-q7-emotion_reasoning,,How do you think Hannah would feel if she had not seen Ethan reaching for the book?,,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_moral_reasoning_emotion_reasoning_2,yes,,,,,2g.webp
ToM-battery,2,ToM-scene2-q3-false_belief,2f_new2,no,false_belief_question,yes,0.5,test_response,ToM-scene2-q3-false_belief,,Is Ethan being mean and naughty for taking Hannah's book?,13,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_moral_reasoning_false_belief_1,no,,,,,2f_new2.webp
ToM-battery,2,ToM-scene2-q4-false_belief,2f_new2,no,false_belief_question,yes,0.5,test_response,ToM-scene2-q4-false_belief,,Should Ethan get in trouble with the teacher for taking Hannah's book?,14,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_moral_reasoning_false_belief_2,no,,,,,2f_new2.webp
ToM-battery,2,ToM-scene2-q5-reality_check,2g,shelf,reality_check_question,coats,0.5,test_response,ToM-scene2-q5-reality_check,,Can you help Hannah find her book? Is it on the shelf or under the coats?,15,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_moral_reasoning_reality_check,at_block_level,,,,,2g.webp
ToM-battery,2,ToM-scene2-q6-reality_check,2f_new2,coats,reality_check_question,shelf,0.5,test_response,ToM-scene2-q6-reality_check,,Can you help Ethan find his book? Is it on the shelf or under the coats?,16,theory-of-mind,theory-of-mind-v2,theory-of-mind,tom_moral_reasoning_reality_check,at_block_level,,,,,2f_new2.webp
ToM-battery,3,ToM-transition,,,instructions,,,instructions,ToM-transition,,Nice work! Here is a new story.,,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,
ToM-battery,3,ToM-scene3-instruct1,3a_2,,instructions,,,instructions,ToM-scene3-instruct1,,"Joshua, Isabel, and Ivan are playing a game. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them.",17,theory-of-mind,theory-of-mind-v2,theory-of-mind,,no,,,,,3a_2.webp
