item_uid,answer,high_similarity_distractor,medium_similarity_distractor,low_similarity_distractor,high_similarity_aoa,medium_similarity_aoa,low_similarity_aoa,age_band,category,hardness
synthetic_vocab__key,key,rag,dollhouse,lava,5.220,4.860,6.440,4,object,1
synthetic_vocab__banana,banana,lemon,crib,hyena,4.740,6.050,6.610,4,object,1
synthetic_vocab__button,button,knob,coal,floss,4.680,6.650,7.060,5,object,2
synthetic_vocab__umbrella,umbrella,raincoat,chip,noodle,5.500,5.890,3.440,6,object,2
synthetic_vocab__celery,celery,lettuce,cooler,anteater,4.280,6.110,8.500,6,object,2
synthetic_vocab__hydrant,hydrant,hose,throne,cable,5.330,7.280,9.200,7,object,2
synthetic_vocab__microwave,microwave,oven,eggnog,suspenders,5.670,7.450,7.390,8,object,3
synthetic_vocab__stethoscope,stethoscope,headset,hinge,aardvark,9.050,7.950,9.890,8,object,3
synthetic_vocab__sock,sock,shoe,snowball,ladybug,2.600,4.740,4.840,3,object,1
synthetic_vocab__chair,chair,recliner,streetlight,dalmatian,6.110,6.060,6.060,3,object,1
synthetic_vocab__bell,bell,van,suit,jellyfish,5.200,6.670,6.610,4,object,1
synthetic_vocab__phone,phone,game,dynamite,chipmunk,4.260,7.110,4.700,4,object,1
synthetic_vocab__apple,apple,candy,cardboard,porcupine,4.000,5.400,6.890,4,object,1
synthetic_vocab__balloon,balloon,ball,tape,asparagus,2.900,4.420,6.790,4,object,1
synthetic_vocab__scissors,scissors,pliers,coin,meatloaf,7.000,4.170,6.430,4,object,1
synthetic_vocab__leaf,leaf,plant,brownie,gumball,3.950,4.800,5.320,5,object,2
synthetic_vocab__tomato,tomato,ketchup,lumber,perfume,4.300,7.330,7.060,5,object,2
synthetic_vocab__elephant,elephant,horse,penguin,xylophone,4.150,5.680,7.110,5,animal,2
synthetic_vocab__camel,camel,donkey,oyster,screwdriver,6.000,8.000,6.000,5,animal,2
synthetic_vocab__broccoli,broccoli,vegetable,ring,splinter,4.170,4.530,4.720,5,object,2
synthetic_vocab__helicopter,helicopter,bus,rim,platypus,3.850,8.050,7.710,5,object,2
synthetic_vocab__nail,nail,pill,bongo,unicycle,6.060,8.400,7.260,5,object,2
synthetic_vocab__anchor,anchor,cross,flipper,toucan,4.740,8.580,8.690,6,object,2
synthetic_vocab__punch,punch,plug,checkbook,tarantula,6.050,8.670,7.760,6,object,2
synthetic_vocab__peacock,peacock,bird,beetle,clothesline,3.520,5.320,6.670,6,animal,2
synthetic_vocab__stapler,stapler,staple,earring,orangutan,7.180,7.170,7.830,6,object,2
synthetic_vocab__camera,camera,photograph,vacuum,poinsettia,6.680,6.740,8.890,6,object,2
synthetic_vocab__onion,onion,garlic,breakfast,corkboard,6.890,3.470,8.440,6,object,2
synthetic_vocab__mailbox,mailbox,mail,pancake,iguana,4.650,4.260,7.610,6,object,2
synthetic_vocab__cauliflower,cauliflower,cabbage,outfit,sundial,5.780,7.000,8.680,6,object,2
synthetic_vocab__card,card,file,swimsuit,tool,8.210,5.610,5.370,6,object,2
synthetic_vocab__owl,owl,eagle,blowfish,boulder,5.830,9.190,7.920,6,animal,2
synthetic_vocab__cactus,cactus,cucumber,sailboat,bassinet,5.720,4.650,9.180,7,object,2
synthetic_vocab__hanger,hanger,hammer,piano,seal,5.420,5.500,5.420,7,object,2
synthetic_vocab__binoculars,binoculars,eyepiece,lamppost,tumbleweed,9.000,8.390,7.950,7,object,2
synthetic_vocab__iron,iron,robot,chalk,backgammon,5.350,4.470,10.000,7,object,2
synthetic_vocab__taco,taco,tee,battery,seismograph,8.210,5.580,10.650,8,object,3
synthetic_vocab__tongs,tongs,shoehorn,wheat,airboat,7.890,6.530,10.750,8,object,3
synthetic_vocab__crown,crown,bow,veil,hummingbird,4.950,9.690,6.950,8,object,3
synthetic_vocab__wrench,wrench,icepick,faucet,mistletoe,9.000,6.290,9.650,8,object,3
synthetic_vocab__bowtie,bowtie,bonnet,cardigan,jumpsuit,6.830,10.110,9.530,8,object,3
synthetic_vocab__calculator,calculator,computer,fudge,anvil,9.700,5.780,10.790,8,object,3
synthetic_vocab__accordion,accordion,washboard,pulley,cheetah,8.650,9.900,8.160,9,object,4
synthetic_vocab__chandelier,chandelier,lightbulb,limousine,manatee,5.890,8.170,10.560,9,object,4
synthetic_vocab__microscope,microscope,stem,crossbow,domino,7.260,10.670,6.170,9,object,4
synthetic_vocab__avocado,avocado,guacamole,dial,pillbox,9.680,6.680,9.300,9,object,4
synthetic_vocab__clipper,clipper,riser,corkscrew,sawhorse,10.560,7.780,9.580,10,object,4
synthetic_vocab__plunger,plunger,mallet,charcoal,cockatoo,10.940,8.000,9.440,10,object,4
synthetic_vocab__croissant,croissant,pastry,sheath,landmine,7.210,10.930,10.950,10,object,4
synthetic_vocab__inhaler,inhaler,vial,ramp,boa,10.060,7.280,9.560,10,object,4
