item_uid,task,language,prompt_phrase,full_prompt
synthetic_vocab__sock,synthetic-vocab,en,sock,Which picture shows sock?
synthetic_vocab__sock,synthetic-vocab,de,sock,Welches Bild zeigt sock?
synthetic_vocab__sock,synthetic-vocab,es,sock,Que imagen muestra sock?
synthetic_vocab__fire,synthetic-vocab,en,fire,Which picture shows fire?
synthetic_vocab__fire,synthetic-vocab,de,fire,Welches Bild zeigt fire?
synthetic_vocab__fire,synthetic-vocab,es,fire,Que imagen muestra fire?
synthetic_vocab__orange,synthetic-vocab,en,orange,Which picture shows orange?
synthetic_vocab__orange,synthetic-vocab,de,orange,Welches Bild zeigt orange?
synthetic_vocab__orange,synthetic-vocab,es,orange,Que imagen muestra orange?
synthetic_vocab__spider,synthetic-vocab,en,spider,Which picture shows spider?
synthetic_vocab__spider,synthetic-vocab,de,spider,Welches Bild zeigt spider?
synthetic_vocab__spider,synthetic-vocab,es,spider,Que imagen muestra spider?
synthetic_vocab__pillow,synthetic-vocab,en,pillow,Which picture shows pillow?
synthetic_vocab__pillow,synthetic-vocab,de,pillow,Welches Bild zeigt pillow?
synthetic_vocab__pillow,synthetic-vocab,es,pillow,Que imagen muestra pillow?
synthetic_vocab__shirt,synthetic-vocab,en,shirt,Which picture shows shirt?
synthetic_vocab__shirt,synthetic-vocab,de,shirt,Welches Bild zeigt shirt?
synthetic_vocab__shirt,synthetic-vocab,es,shirt,Que imagen muestra shirt?
synthetic_vocab__tree,synthetic-vocab,en,tree,Which picture shows tree?
synthetic_vocab__tree,synthetic-vocab,de,tree,Welches Bild zeigt tree?
synthetic_vocab__tree,synthetic-vocab,es,tree,Que imagen muestra tree?
synthetic_vocab__key,synthetic-vocab,en,key,Which picture shows key?
synthetic_vocab__key,synthetic-vocab,de,key,Welches Bild zeigt key?
synthetic_vocab__key,synthetic-vocab,es,key,Que imagen muestra key?
synthetic_vocab__bear,synthetic-vocab,en,bear,Which picture shows bear?
synthetic_vocab__bear,synthetic-vocab,de,bear,Welches Bild zeigt bear?
synthetic_vocab__bear,synthetic-vocab,es,bear,Que imagen muestra bear?
synthetic_vocab__ear,synthetic-vocab,en,ear,Which picture shows ear?
