item_uid,task,language,prompt_phrase,full_prompt
synthetic_vocab__key,synthetic-vocab,en,key,Which picture shows key?
synthetic_vocab__key,synthetic-vocab,de,key,Welches Bild zeigt key?
synthetic_vocab__key,synthetic-vocab,es,key,Que imagen muestra key?
synthetic_vocab__banana,synthetic-vocab,en,banana,Which picture shows banana?
synthetic_vocab__banana,synthetic-vocab,de,banana,Welches Bild zeigt banana?
synthetic_vocab__banana,synthetic-vocab,es,banana,Que imagen muestra banana?
synthetic_vocab__button,synthetic-vocab,en,button,Which picture shows button?
synthetic_vocab__button,synthetic-vocab,de,button,Welches Bild zeigt button?
synthetic_vocab__button,synthetic-vocab,es,button,Que imagen muestra button?
synthetic_vocab__umbrella,synthetic-vocab,en,umbrella,Which picture shows umbrella?
synthetic_vocab__umbrella,synthetic-vocab,de,umbrella,Welches Bild zeigt umbrella?
synthetic_vocab__umbrella,synthetic-vocab,es,umbrella,Que imagen muestra umbrella?
synthetic_vocab__celery,synthetic-vocab,en,celery,Which picture shows celery?
synthetic_vocab__celery,synthetic-vocab,de,celery,Welches Bild zeigt celery?
synthetic_vocab__celery,synthetic-vocab,es,celery,Que imagen muestra celery?
synthetic_vocab__hydrant,synthetic-vocab,en,hydrant,Which picture shows hydrant?
synthetic_vocab__hydrant,synthetic-vocab,de,hydrant,Welches Bild zeigt hydrant?
synthetic_vocab__hydrant,synthetic-vocab,es,hydrant,Que imagen muestra hydrant?
synthetic_vocab__microwave,synthetic-vocab,en,microwave,Which picture shows microwave?
synthetic_vocab__microwave,synthetic-vocab,de,microwave,Welches Bild zeigt microwave?
synthetic_vocab__microwave,synthetic-vocab,es,microwave,Que imagen muestra microwave?
synthetic_vocab__stethoscope,synthetic-vocab,en,stethoscope,Which picture shows stethoscope?
synthetic_vocab__stethoscope,synthetic-vocab,de,stethoscope,Welches Bild zeigt stethoscope?
synthetic_vocab__stethoscope,synthetic-vocab,es,stethoscope,Que imagen muestra stethoscope?
