task,item_uid,answer,response_alternatives,prompt_phrase,full_prompt,trial_type,age_band,category,hardness
synthetic-vocab,synthetic_vocab__key,key,"rag,dollhouse,lava",key,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: key.",test,4,object,1
synthetic-vocab,synthetic_vocab__banana,banana,"lemon,crib,hyena",banana,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: banana.",test,4,object,1
synthetic-vocab,synthetic_vocab__button,button,"knob,coal,floss",button,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: button.",test,5,object,2
synthetic-vocab,synthetic_vocab__umbrella,umbrella,"raincoat,chip,noodle",umbrella,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: umbrella.",test,6,object,2
synthetic-vocab,synthetic_vocab__celery,celery,"lettuce,cooler,anteater",celery,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: celery.",test,6,object,2
synthetic-vocab,synthetic_vocab__hydrant,hydrant,"hose,throne,cable",hydrant,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: hydrant.",test,7,object,2
synthetic-vocab,synthetic_vocab__microwave,microwave,"oven,eggnog,suspenders",microwave,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: microwave.",test,8,object,3
synthetic-vocab,synthetic_vocab__stethoscope,stethoscope,"headset,hinge,aardvark",stethoscope,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: stethoscope.",test,8,object,3
synthetic-vocab,synthetic_vocab__sock,sock,"shoe,snowball,ladybug",sock,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: sock.",test,3,object,1
synthetic-vocab,synthetic_vocab__chair,chair,"recliner,streetlight,dalmatian",chair,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: chair.",test,3,object,1
synthetic-vocab,synthetic_vocab__bell,bell,"van,suit,jellyfish",bell,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: bell.",test,4,object,1
synthetic-vocab,synthetic_vocab__phone,phone,"game,dynamite,chipmunk",phone,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: phone.",test,4,object,1
synthetic-vocab,synthetic_vocab__apple,apple,"candy,cardboard,porcupine",apple,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: apple.",test,4,object,1
synthetic-vocab,synthetic_vocab__balloon,balloon,"ball,tape,asparagus",balloon,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: balloon.",test,4,object,1
synthetic-vocab,synthetic_vocab__scissors,scissors,"pliers,coin,meatloaf",scissors,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: scissors.",test,4,object,1
synthetic-vocab,synthetic_vocab__leaf,leaf,"plant,brownie,gumball",leaf,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: leaf.",test,5,object,2
synthetic-vocab,synthetic_vocab__tomato,tomato,"ketchup,lumber,perfume",tomato,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: tomato.",test,5,object,2
synthetic-vocab,synthetic_vocab__elephant,elephant,"horse,penguin,xylophone",elephant,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: elephant.",test,5,animal,2
synthetic-vocab,synthetic_vocab__camel,camel,"donkey,oyster,screwdriver",camel,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: camel.",test,5,animal,2
synthetic-vocab,synthetic_vocab__broccoli,broccoli,"vegetable,ring,splinter",broccoli,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: broccoli.",test,5,object,2
synthetic-vocab,synthetic_vocab__helicopter,helicopter,"bus,rim,platypus",helicopter,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: helicopter.",test,5,object,2
synthetic-vocab,synthetic_vocab__nail,nail,"pill,bongo,unicycle",nail,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: nail.",test,5,object,2
synthetic-vocab,synthetic_vocab__anchor,anchor,"cross,flipper,toucan",anchor,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: anchor.",test,6,object,2
synthetic-vocab,synthetic_vocab__punch,punch,"plug,checkbook,tarantula",punch,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: punch.",test,6,object,2
synthetic-vocab,synthetic_vocab__peacock,peacock,"bird,beetle,clothesline",peacock,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: peacock.",test,6,animal,2
synthetic-vocab,synthetic_vocab__stapler,stapler,"staple,earring,orangutan",stapler,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: stapler.",test,6,object,2
synthetic-vocab,synthetic_vocab__camera,camera,"photograph,vacuum,poinsettia",camera,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: camera.",test,6,object,2
synthetic-vocab,synthetic_vocab__onion,onion,"garlic,breakfast,corkboard",onion,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: onion.",test,6,object,2
synthetic-vocab,synthetic_vocab__mailbox,mailbox,"mail,pancake,iguana",mailbox,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: mailbox.",test,6,object,2
synthetic-vocab,synthetic_vocab__cauliflower,cauliflower,"cabbage,outfit,sundial",cauliflower,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: cauliflower.",test,6,object,2
synthetic-vocab,synthetic_vocab__card,card,"file,swimsuit,tool",card,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: card.",test,6,object,2
synthetic-vocab,synthetic_vocab__owl,owl,"eagle,blowfish,boulder",owl,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: owl.",test,6,animal,2
synthetic-vocab,synthetic_vocab__cactus,cactus,"cucumber,sailboat,bassinet",cactus,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: cactus.",test,7,object,2
synthetic-vocab,synthetic_vocab__hanger,hanger,"hammer,piano,seal",hanger,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: hanger.",test,7,object,2
synthetic-vocab,synthetic_vocab__binoculars,binoculars,"eyepiece,lamppost,tumbleweed",binoculars,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: binoculars.",test,7,object,2
synthetic-vocab,synthetic_vocab__iron,iron,"robot,chalk,backgammon",iron,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: iron.",test,7,object,2
synthetic-vocab,synthetic_vocab__taco,taco,"tee,battery,seismograph",taco,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: taco.",test,8,object,3
synthetic-vocab,synthetic_vocab__tongs,tongs,"shoehorn,wheat,airboat",tongs,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: tongs.",test,8,object,3
synthetic-vocab,synthetic_vocab__crown,crown,"bow,veil,hummingbird",crown,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: crown.",test,8,object,3
synthetic-vocab,synthetic_vocab__wrench,wrench,"icepick,faucet,mistletoe",wrench,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: wrench.",test,8,object,3
synthetic-vocab,synthetic_vocab__bowtie,bowtie,"bonnet,cardigan,jumpsuit",bowtie,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: bowtie.",test,8,object,3
synthetic-vocab,synthetic_vocab__calculator,calculator,"computer,fudge,anvil",calculator,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: calculator.",test,8,object,3
synthetic-vocab,synthetic_vocab__accordion,accordion,"washboard,pulley,cheetah",accordion,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: accordion.",test,9,object,4
synthetic-vocab,synthetic_vocab__chandelier,chandelier,"lightbulb,limousine,manatee",chandelier,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: chandelier.",test,9,object,4
synthetic-vocab,synthetic_vocab__microscope,microscope,"stem,crossbow,domino",microscope,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: microscope.",test,9,object,4
synthetic-vocab,synthetic_vocab__avocado,avocado,"guacamole,dial,pillbox",avocado,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: avocado.",test,9,object,4
synthetic-vocab,synthetic_vocab__clipper,clipper,"riser,corkscrew,sawhorse",clipper,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: clipper.",test,10,object,4
synthetic-vocab,synthetic_vocab__plunger,plunger,"mallet,charcoal,cockatoo",plunger,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: plunger.",test,10,object,4
synthetic-vocab,synthetic_vocab__croissant,croissant,"pastry,sheath,landmine",croissant,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: croissant.",test,10,object,4
synthetic-vocab,synthetic_vocab__inhaler,inhaler,"vial,ramp,boa",inhaler,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: inhaler.",test,10,object,4
