item_uid,answer,distractors,gold_letter,gold_quadrant,A_top_left_term,B_top_right_term,C_bottom_left_term,D_bottom_right_term,A_top_left_src,B_top_right_src,C_bottom_left_src,D_bottom_right_src,composite_path
vocab__acorn,acorn,coconut|key|clothesline,A,top-left,acorn,coconut,key,clothesline,data/assets/2026-03-24/visual/vocab/acorn.webp,data/assets/2026-03-24/visual/vocab/coconut.webp,data/assets/2026-03-24/visual/vocab/key.webp,data/assets/2026-03-24/visual/vocab/clothesline.webp,local_data/vocab_graphics/images/vocab__acorn.png
vocab__aloe,aloe,bracket|cactus|banner,B,top-right,bracket,aloe,cactus,banner,data/assets/2026-03-24/visual/vocab/bracket.webp,data/assets/2026-03-24/visual/vocab/aloe.webp,data/assets/2026-03-24/visual/vocab/cactus.webp,data/assets/2026-03-24/visual/vocab/banner.webp,local_data/vocab_graphics/images/vocab__aloe.png
vocab__antenna,antenna,pinecone|stem|backgammon,A,top-left,antenna,backgammon,stem,pinecone,data/assets/2026-03-24/visual/vocab/antenna.webp,data/assets/2026-03-24/visual/vocab/backgammon.webp,data/assets/2026-03-24/visual/vocab/stem.webp,data/assets/2026-03-24/visual/vocab/pinecone.webp,local_data/vocab_graphics/images/vocab__antenna.png
vocab__artichoke,artichoke,leek|sunroof|cello,C,bottom-left,sunroof,cello,artichoke,leek,data/assets/2026-03-24/visual/vocab/sunroof.webp,data/assets/2026-03-24/visual/vocab/cello.webp,data/assets/2026-03-24/visual/vocab/artichoke.webp,data/assets/2026-03-24/visual/vocab/leek.webp,local_data/vocab_graphics/images/vocab__artichoke.png
vocab__bamboo,bamboo,lumber|yacht|apron,C,bottom-left,lumber,apron,bamboo,yacht,data/assets/2026-03-24/visual/vocab/lumber.webp,data/assets/2026-03-24/visual/vocab/apron.webp,data/assets/2026-03-24/visual/vocab/bamboo.webp,data/assets/2026-03-24/visual/vocab/yacht.webp,local_data/vocab_graphics/images/vocab__bamboo.png
vocab__barrel,barrel,bucket|shelf|anteater,D,bottom-right,anteater,bucket,shelf,barrel,data/assets/2026-03-24/visual/vocab/anteater.webp,data/assets/2026-03-24/visual/vocab/bucket.webp,data/assets/2026-03-24/visual/vocab/shelf.webp,data/assets/2026-03-24/visual/vocab/barrel.webp,local_data/vocab_graphics/images/vocab__barrel.png
vocab__blender,blender,blind|mailbox|trampoline,B,top-right,blind,blender,mailbox,trampoline,data/assets/2026-03-24/visual/vocab/blind.webp,data/assets/2026-03-24/visual/vocab/blender.webp,data/assets/2026-03-24/visual/vocab/mailbox.webp,data/assets/2026-03-24/visual/vocab/trampoline.webp,local_data/vocab_graphics/images/vocab__blender.png
vocab__blower,blower,buggy|burner|papaya,D,bottom-right,buggy,papaya,burner,blower,data/assets/2026-03-24/visual/vocab/buggy.webp,data/assets/2026-03-24/visual/vocab/papaya.webp,data/assets/2026-03-24/visual/vocab/burner.webp,data/assets/2026-03-24/visual/vocab/blower.webp,local_data/vocab_graphics/images/vocab__blower.png
vocab__bouquet,bouquet,bandanna|centerpiece|submarine,D,bottom-right,bandanna,centerpiece,submarine,bouquet,data/assets/2026-03-24/visual/vocab/bandanna.webp,data/assets/2026-03-24/visual/vocab/centerpiece.webp,data/assets/2026-03-24/visual/vocab/submarine.webp,data/assets/2026-03-24/visual/vocab/bouquet.webp,local_data/vocab_graphics/images/vocab__bouquet.png
vocab__buffet,buffet,counter|crib|rhubarb,B,top-right,rhubarb,buffet,crib,counter,data/assets/2026-03-24/visual/vocab/rhubarb.webp,data/assets/2026-03-24/visual/vocab/buffet.webp,data/assets/2026-03-24/visual/vocab/crib.webp,data/assets/2026-03-24/visual/vocab/counter.webp,local_data/vocab_graphics/images/vocab__buffet.png
