task,item_uid,answer,response_alternatives,prompt_phrase,full_prompt,trial_type,age_band,category,hardness
vocab,vocab__cat,cat,"teapot,book,moon",cat,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: cat.",test,3,animal,1
vocab,vocab__dog,dog,"ball,cup,chair",dog,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: dog.",test,3,animal,1
vocab,vocab__fish,fish,"boat,wagon,cup",fish,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: fish.",test,3,animal,1
vocab,vocab__shoe,shoe,"car,banana,boat",shoe,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: shoe.",test,3,clothing,1
vocab,vocab__apple,apple,"ball,spoon,wagon",apple,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: apple.",test,3,food,1
vocab,vocab__book,book,"drum,dog,wagon",book,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: book.",test,3,household,1
vocab,vocab__cup,cup,"shoe,sock,boat",cup,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: cup.",test,3,household,1
vocab,vocab__tree,tree,"train,teapot,book",tree,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: tree.",test,3,nature,1
vocab,vocab__ball,ball,"bed,moon,banana",ball,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: ball.",test,3,toy,1
vocab,vocab__car,car,"tree,bird,ball",car,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: car.",test,3,vehicle,1
vocab,vocab__wagon,wagon,"bird,flower,moon",wagon,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: wagon.",test,3,vehicle,1
vocab,vocab__bird,bird,"moon,ladder,tree",bird,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: bird.",test,4,animal,1
vocab,vocab__sock,sock,"car,banana,drum",sock,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: sock.",test,4,clothing,1
vocab,vocab__banana,banana,"drum,car,teapot",banana,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: banana.",test,4,food,1
vocab,vocab__bed,bed,"boat,shoe,nest",bed,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: bed.",test,4,household,1
vocab,vocab__chair,chair,"ladder,dog,shoe",chair,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: chair.",test,4,household,1
vocab,vocab__spoon,spoon,"carrot,apron,apple",spoon,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: spoon.",test,4,household,1
vocab,vocab__teapot,teapot,"rabbit,shoe,barn",teapot,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: teapot.",test,4,household,1
vocab,vocab__drum,drum,"tree,chair,bird",drum,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: drum.",test,4,music,1
vocab,vocab__flower,flower,"teapot,carrot,dog",flower,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: flower.",test,4,nature,1
vocab,vocab__moon,moon,"stool,bed,bird",moon,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: moon.",test,4,nature,1
vocab,vocab__barn,barn,"boat,wagon,car",barn,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: barn.",test,4,place,1
vocab,vocab__boat,boat,"fish,stool,clock",boat,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: boat.",test,4,vehicle,1
vocab,vocab__train,train,"sock,lily,glove",train,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: train.",test,4,vehicle,1
vocab,vocab__rabbit,rabbit,"kite,valley,bed",rabbit,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: rabbit.",test,5,animal,2
vocab,vocab__apron,apron,"train,nest,pillow",apron,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: apron.",test,5,clothing,2
vocab,vocab__glove,glove,"pouch,stool,planet",glove,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: glove.",test,5,clothing,2
vocab,vocab__carrot,carrot,"button,kite,apron",carrot,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: carrot.",test,5,food,2
vocab,vocab__candle,candle,"swan,valley,bridge",candle,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: candle.",test,5,household,2
vocab,vocab__clock,clock,"feather,crown,tractor",clock,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: clock.",test,5,household,2
vocab,vocab__pillow,pillow,"banana,button,otter",pillow,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: pillow.",test,5,household,2
vocab,vocab__stool,stool,"beehive,porch,bicycle",stool,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: stool.",test,5,household,2
vocab,vocab__acorn,acorn,"hammer,magnet,chair",acorn,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: acorn.",test,5,nature,2
vocab,vocab__cliff,cliff,"bed,train,crown",cliff,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: cliff.",test,5,nature,2
vocab,vocab__lily,lily,"bridge,otter,pocket",lily,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: lily.",test,5,nature,2
vocab,vocab__nest,nest,"candle,blanket,pocket",nest,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: nest.",test,5,nature,2
vocab,vocab__button,button,"tractor,stool,train",button,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: button.",test,5,object,2
vocab,vocab__envelope,envelope,"glove,castle,bridge",envelope,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: envelope.",test,5,object,2
vocab,vocab__bridge,bridge,"candle,ladder,otter",bridge,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: bridge.",test,5,place,2
vocab,vocab__ladder,ladder,"bed,kite,planet",ladder,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: ladder.",test,5,tool,2
vocab,vocab__magnet,magnet,"envelope,planet,pocket",magnet,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: magnet.",test,5,tool,2
vocab,vocab__kite,kite,"crown,tractor,otter",kite,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: kite.",test,5,toy,2
vocab,vocab__camel,camel,"ladder,crown,fossil",camel,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: camel.",test,6,animal,2
vocab,vocab__otter,otter,"compass,accordion,button",otter,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: otter.",test,6,animal,2
vocab,vocab__swan,swan,"wrench,parachute,pouch",swan,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: swan.",test,6,animal,2
vocab,vocab__crown,crown,"igloo,acorn,ladle",crown,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: crown.",test,6,clothing,2
vocab,vocab__helmet,helmet,"candle,telescope,anchor",helmet,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: helmet.",test,6,clothing,2
vocab,vocab__pocket,pocket,"chimney,lily,dune",pocket,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: pocket.",test,6,clothing,2
vocab,vocab__blanket,blanket,"swan,fountain,crown",blanket,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: blanket.",test,6,household,2
vocab,vocab__ladle,ladle,"mitten,planet,cactus",ladle,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: ladle.",test,6,household,2
vocab,vocab__beehive,beehive,"swan,carrot,helmet",beehive,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: beehive.",test,6,nature,2
vocab,vocab__feather,feather,"crown,bridge,wrench",feather,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: feather.",test,6,nature,2
vocab,vocab__planet,planet,"glove,magnet,carrot",planet,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: planet.",test,6,nature,2
vocab,vocab__anchor,anchor,"apron,camel,clock",anchor,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: anchor.",test,6,object,2
