item_uid,answer,high_similarity_distractor,medium_similarity_distractor,low_similarity_distractor,high_similarity_aoa,medium_similarity_aoa,low_similarity_aoa,age_band,category,hardness
synthetic_vocab__sock,sock,shoe,wing,seahorse,2.600,4.790,5.830,3,object,1
synthetic_vocab__fire,fire,game,sandbox,noodle,4.260,4.140,3.440,3,object,1
synthetic_vocab__orange,orange,honey,bus,chipmunk,5.440,3.850,4.700,3,object,1
synthetic_vocab__spider,spider,bug,grasshopper,gumball,3.790,5.780,5.320,3,animal,1
synthetic_vocab__pillow,pillow,cushion,jeans,tool,5.530,5.260,5.370,3,object,1
synthetic_vocab__shirt,shirt,undershirt,chair,ladybug,5.560,3.430,4.840,4,object,1
synthetic_vocab__tree,tree,plant,clover,walrus,3.950,5.740,5.060,4,object,1
synthetic_vocab__key,key,boy,pot,octopus,3.670,5.950,6.260,4,object,1
synthetic_vocab__bear,bear,man,chicken,dalmatian,3.110,3.260,6.060,4,animal,1
synthetic_vocab__ear,ear,nose,trophy,hyena,2.950,5.550,6.610,4,object,1
synthetic_vocab__cat,cat,kitten,sheep,clothesline,3.640,4.250,6.670,4,animal,1
synthetic_vocab__bubble,bubble,sundae,beet,asparagus,5.110,6.560,6.790,4,object,1
synthetic_vocab__egg,egg,yolk,pants,splinter,5.890,3.230,4.720,4,object,1
synthetic_vocab__worm,worm,baby,shell,screwdriver,3.840,5.220,6.000,4,animal,1
synthetic_vocab__tiger,tiger,goat,elephant,chalkboard,5.210,4.800,5.780,4,animal,1
synthetic_vocab__lamp,lamp,lampshade,bush,domino,5.630,4.900,6.170,4,object,1
synthetic_vocab__phone,phone,photograph,checkers,floss,6.680,6.110,7.060,4,object,1
synthetic_vocab__apple,apple,candy,hand,hydrant,4.000,2.740,6.890,4,object,1
synthetic_vocab__horse,horse,pony,tick,perfume,5.390,6.050,7.060,4,animal,1
synthetic_vocab__strawberry,strawberry,raspberry,outfit,pantyhose,5.330,7.000,6.060,4,object,1
synthetic_vocab__bowl,bowl,plate,mirror,hippopotamus,3.840,4.890,7.000,4,object,1
synthetic_vocab__pancake,pancake,pickle,finger,seaweed,6.050,3.430,6.740,4,object,1
synthetic_vocab__balloon,balloon,ball,playpen,hummingbird,2.900,4.410,6.950,4,object,1
synthetic_vocab__wheel,wheel,dial,fork,suspenders,6.680,3.630,7.390,4,object,1
synthetic_vocab__tape,tape,paper,lightbulb,meatloaf,4.000,5.890,6.430,4,object,1
synthetic_vocab__lion,lion,wolf,ant,dustpan,4.500,4.320,6.470,4,animal,1
synthetic_vocab__clock,clock,watch,closet,caterpillar,4.330,5.000,5.170,4,object,1
synthetic_vocab__chalk,chalk,paint,wafer,melon,4.450,6.890,4.210,4,object,1
synthetic_vocab__leaf,leaf,feather,engine,hook,4.670,6.280,6.260,5,object,2
synthetic_vocab__tomato,tomato,ketchup,broom,fireplace,4.300,5.500,7.370,5,object,2
synthetic_vocab__belt,belt,strap,spacesuit,handprint,5.610,6.750,5.110,5,object,2
synthetic_vocab__pizza,pizza,pepperoni,bell,doorknocker,6.210,3.890,7.060,5,object,2
synthetic_vocab__tie,tie,rag,flagpole,platypus,5.220,6.440,7.710,5,object,2
synthetic_vocab__lemon,lemon,gem,brush,videocassette,7.680,3.780,7.110,5,object,2
synthetic_vocab__button,button,knob,sweater,iguana,4.680,5.220,7.610,5,object,2
synthetic_vocab__pumpkin,pumpkin,cinnamon,jar,seal,5.370,5.440,5.420,5,object,2
synthetic_vocab__mask,mask,face,bread,tarantula,3.750,3.580,7.760,5,object,2
synthetic_vocab__football,football,baseball,mustache,orangutan,4.830,5.400,7.830,5,object,2
synthetic_vocab__beard,beard,razor,branch,goldfish,7.110,5.110,4.500,5,object,2
synthetic_vocab__bow,bow,bonnet,crate,ostrich,6.830,7.060,6.420,5,object,2
synthetic_vocab__giraffe,giraffe,deer,slug,boulder,5.170,6.000,7.920,5,animal,2
synthetic_vocab__peanut,peanut,biscuit,cannonball,kaleidoscope,4.630,6.390,7.410,5,object,2
synthetic_vocab__bee,bee,beehive,lamb,railing,7.470,4.150,6.560,5,animal,2
synthetic_vocab__zipper,zipper,whip,candle,gravestone,7.000,5.370,7.370,5,object,2
synthetic_vocab__snake,snake,hawk,gopher,highchair,6.740,7.210,3.790,5,animal,2
synthetic_vocab__camel,camel,donkey,butterfly,windowsill,6.000,3.670,5.170,5,animal,2
synthetic_vocab__chain,chain,trap,lettuce,warthog,6.440,4.280,7.820,5,object,2
synthetic_vocab__helicopter,helicopter,car,dress,tumbleweed,3.370,4.050,7.950,5,object,2
synthetic_vocab__basketball,basketball,volleyball,stereo,cheetah,7.050,5.950,8.160,5,object,2
synthetic_vocab__waffle,waffle,taco,cage,thumbtack,7.720,5.060,7.170,5,object,2
synthetic_vocab__saw,saw,chainsaw,sandpaper,stockings,7.000,6.330,5.440,5,object,2
synthetic_vocab__whistle,whistle,radio,calf,reindeer,5.170,6.630,3.580,5,object,2
synthetic_vocab__pepper,pepper,puppet,cabinet,corkboard,5.000,6.060,8.440,5,object,2
synthetic_vocab__shark,shark,fish,lobster,bedpost,4.050,7.440,6.620,5,animal,2
synthetic_vocab__comb,comb,hairbrush,cooler,anteater,4.700,6.110,8.500,6,object,2
synthetic_vocab__kangaroo,kangaroo,rabbit,parrot,wreath,3.940,5.580,7.060,6,animal,2
synthetic_vocab__cherry,cherry,berry,tattoo,doormat,5.210,7.790,7.210,6,object,2
synthetic_vocab__wig,wig,hair,pastry,starfish,3.170,7.210,5.760,6,object,2
synthetic_vocab__basket,basket,bucket,collar,hail,5.610,6.560,7.900,6,object,2
synthetic_vocab__skirt,skirt,shorts,brownie,backscratcher,3.950,4.800,6.630,6,object,2
synthetic_vocab__penguin,penguin,duck,mosquito,knitting,3.500,6.100,7.240,6,animal,2
synthetic_vocab__bracelet,bracelet,wrist,shoehorn,peppermint,5.940,7.890,5.700,6,object,2
synthetic_vocab__anchor,anchor,cross,seed,toucan,4.740,4.720,8.690,6,object,2
synthetic_vocab__moth,moth,bat,possum,fishbowl,4.850,6.610,5.470,6,animal,2
synthetic_vocab__peacock,peacock,bird,beaver,eraser,3.520,5.210,4.950,6,animal,2
synthetic_vocab__stapler,stapler,staple,jewelry,bathrobe,7.180,6.670,7.900,6,object,2
synthetic_vocab__eagle,eagle,chick,skunk,pincushion,5.530,5.320,8.560,6,animal,2
synthetic_vocab__chips,chips,chip,doll,trunk,5.890,3.680,8.300,6,object,2
synthetic_vocab__crumb,crumb,muffin,daisy,doorbell,5.110,5.550,5.050,6,object,2
synthetic_vocab__camera,camera,filter,robe,poinsettia,8.050,6.380,8.890,6,object,2
synthetic_vocab__crib,crib,cot,kiwi,propeller,7.530,7.560,7.000,6,object,2
synthetic_vocab__magnet,magnet,peg,shelf,cockroach,6.830,5.500,6.250,6,object,2
synthetic_vocab__cauliflower,cauliflower,cabbage,jewel,mantle,5.780,6.220,9.170,6,object,2
synthetic_vocab__card,card,file,tent,cable,8.210,5.160,9.200,6,object,2
synthetic_vocab__owl,owl,robot,catfish,bassinet,5.350,6.610,9.180,6,animal,2
synthetic_vocab__stool,stool,drum,coat,turtleneck,4.630,3.580,6.790,6,object,2
synthetic_vocab__pineapple,pineapple,banana,ruler,bunkbed,3.780,5.940,6.480,6,object,2
synthetic_vocab__microphone,microphone,headset,paperweight,walnut,9.050,6.720,6.160,6,object,2
synthetic_vocab__envelope,envelope,mail,quilt,zebra,4.650,6.550,4.790,6,object,2
synthetic_vocab__fence,fence,gate,batter,piglet,5.320,7.050,5.680,6,object,2
synthetic_vocab__timer,timer,tag,knee,forklift,5.000,4.420,9.110,6,object,2
synthetic_vocab__handcuff,handcuff,clasp,switch,dishwasher,8.630,4.780,7.160,6,object,2
synthetic_vocab__pearl,pearl,diamond,steak,accordion,6.470,6.630,8.610,6,object,2
synthetic_vocab__faucet,faucet,toilet,wetsuit,lemonade,3.540,8.790,5.060,6,object,2
synthetic_vocab__stamp,stamp,sticker,dynamite,rattlesnake,4.420,7.110,6.780,6,object,2
synthetic_vocab__trailer,trailer,truck,earring,highlighter,3.790,7.170,8.240,6,object,2
synthetic_vocab__dice,dice,buckle,mango,paintbrush,6.420,8.220,6.220,6,object,2
synthetic_vocab__mushroom,mushroom,fungus,straw,coverall,8.440,4.220,9.320,6,object,2
synthetic_vocab__lava,lava,coal,icicle,jukebox,6.650,5.780,7.420,6,object,2
synthetic_vocab__coconut,coconut,nut,braid,pillbox,5.210,7.220,9.300,6,object,2
synthetic_vocab__slingshot,slingshot,sling,ribbon,broccoli,8.670,5.250,5.200,7,object,2
synthetic_vocab__jellyfish,jellyfish,crab,crow,jumpsuit,5.280,5.740,9.530,7,animal,2
synthetic_vocab__thermometer,thermometer,stem,wax,origami,7.260,6.000,9.240,7,object,2
synthetic_vocab__dough,dough,flour,jacket,cockatoo,6.890,3.950,9.440,7,object,2
synthetic_vocab__suit,suit,costume,corn,mistletoe,4.170,4.610,9.650,7,object,2
synthetic_vocab__skeleton,skeleton,bone,radiator,boa,5.530,8.530,9.560,7,object,2
synthetic_vocab__vacuum,vacuum,vegetable,scale,sawhorse,4.170,8.850,9.580,7,object,2
synthetic_vocab__binoculars,binoculars,eyepiece,panties,shredder,9.000,5.750,8.780,7,object,2
synthetic_vocab__wheelchair,wheelchair,bike,oven,knot,4.790,5.670,6.050,7,object,2
synthetic_vocab__porcupine,porcupine,boar,swan,mixer,9.830,6.320,7.050,7,animal,2
synthetic_vocab__pinball,pinball,tray,crown,aardvark,6.050,7.800,9.890,7,object,2
synthetic_vocab__blind,blind,blinder,javelin,backgammon,7.000,9.440,10.000,7,object,2
synthetic_vocab__marble,marble,crystal,dollhouse,pheasant,7.780,4.860,9.680,7,object,2
synthetic_vocab__goggles,goggles,glasses,marker,coil,4.350,4.890,9.670,7,object,2
synthetic_vocab__shrimp,shrimp,seafood,hay,padlock,6.860,5.320,8.840,7,animal,2
synthetic_vocab__xylophone,xylophone,piano,dish,pantsuit,5.500,4.890,9.420,7,object,2
synthetic_vocab__drill,drill,hip,pudding,crayfish,6.170,4.790,9.350,7,object,2
synthetic_vocab__tweezers,tweezers,pen,gumdrop,cougar,5.110,5.530,8.110,7,object,2
synthetic_vocab__crutch,crutch,brace,streetlight,denture,7.890,6.060,10.160,7,object,2
synthetic_vocab__unicycle,unicycle,motorcycle,pickax,bandanna,5.050,9.790,8.590,7,object,2
